organization,row_count,logo_file,classification,acronym_needed,display_name,aws_logo_url,search_aliases,logo_filename,vertical,org_type,logo_url,org_url
District Of Columbia Public Schools,189,District_Of_Columbia_Public_Schools.png,owner,,DC Public Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/District_Of_Columbia_Public_Schools.png,Capitol|DC|DC Public Schools|dc public schools|DC Schools|DCPS|District|district of columbia schools|DMV|Federal|The District|Washington|Washington DC|Washington Schools|WDC,,,,,https://dcps.dc.gov
The Irvine Company,166,The_Irvine_Company.png,owner/operator,,Irvine Company,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/The_Irvine_Company.png,irvine|Irvine|Irvine Company|TIC,,,,,https://www.irvinecompany.com
Kaiser Permanente,162,Kaiser_Permanente.png,owner/occupier,,Kaiser Permanente,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kaiser_Permanente.png,Kaiser|Kaiser Permanente|KP,,,,,https://www.kaiserpermanente.org
Harvard University,167,Harvard_University.png,owner/occupier,,Harvard,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Harvard_University.png,Cambridge|Crimson|harvard|Harvard|HU|hu,,,,,https://www.harvard.edu
Hines,140,Hines.png,owner/operator,,Hines Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Hines.png,Hines|Hines Interests,,,,,https://www.hines.com
Costco,148,Costco.png,owner/occupier,,Costco,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Costco.png,COST|Costco|Costco Wholesale,,,,,https://www.costco.com
District Of Columbia,94,District_Of_Columbia.png,owner,,DC Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/District_Of_Columbia.png,Capitol|DC|DC Police|DC Public Schools|DC Schools|DCPS|District|DMV|Federal|Metro Police|MPD|The District|Washington|washington dc|Washington DC|Washington Police|Washington Schools|WDC,,,,,https://dc.gov
Newmark,134,Newmark.png,property manager,,Newmark Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Newmark.png,Newmark|Newmark Knight Frank|NKF|NMK,,,,,https://www.nmrk.com
InterContinental Hotels Group (IHG),134,InterContinental_Hotels_Group_IHG.png,tenant,,IHG Hotels,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/InterContinental_Hotels_Group_IHG.png,Candlewood|Crowne Plaza|Even Hotels|Holiday Inn|IHG|ihg hotels|IHG Hotels|Indigo|InterContinental|Kimpton|Staybridge,,,,,https://www.ihg.com
Boston Properties (BXP),112,Boston_Properties_BXP.png,owner/operator,,Boston Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Boston_Properties_BXP.png,Boston Properties|boston properties|BP|BXP,,,,,https://www.bxp.com
Lincoln Property Company,134,Lincoln_Property_Company.png,property manager,,Lincoln Property,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Lincoln_Property_Company.png,lincoln property|Lincoln Property,,,,,https://www.lpc.com
Kroger,102,Kroger.png,owner/occupier,,Kroger,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kroger.png,Fred Meyer|Fry's|Harris Teeter|King Soopers|KR|Kroger|QFC|Ralphs|Smith's,,,,,https://www.thekrogerco.com
Douglas Emmett,105,Douglas_Emmett.png,owner/operator,,Douglas Emmett,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Douglas_Emmett.png,DEI|Douglas Emmett,,,,,https://www.douglasemmett.com
Hyatt,105,Hyatt.png,tenant,,Hyatt,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Hyatt.png,Alila|Andaz|Grand Hyatt|Hyatt|Hyatt Hotels|Hyatt House|Hyatt Place|Hyatt Regency|Park Hyatt|Thompson,,,,,https://www.hyatt.com
Macy's,98,Macy_s.png,owner/occupier,,Macy's,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Macy_s.png,Bloomies|Bloomingdales|Macy's|Macys,,,,,https://www.macysinc.com
Kilroy Realty,100,Kilroy_Realty.png,owner/operator,,Kilroy Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kilroy_Realty.png,Kilroy|kilroy|Kilroy Realty|KRC,,,,,https://www.kilroyrealty.com
Brookfield,96,Brookfield.png,owner/operator,,Brookfield,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Brookfield.png,BPY|Brookfield|Brookfield Properties,,,,,https://www.brookfield.com
Vornado Realty Trust,78,Vornado_Realty_Trust.png,owner/operator,,Vornado Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Vornado_Realty_Trust.png,VNO|Vornado|vornado|Vornado Realty,,,,,https://www.vno.com
Seattle Public Schools,82,Seattle_Public_Schools.png,owner,,Seattle Public Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Seattle_Public_Schools.png,seattle schools|Seattle Schools|SPS,,,,,https://www.seattleschools.org
City Of Los Angeles,42,City_Of_Los_Angeles.png,owner,,LA City Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/City_Of_Los_Angeles.png,City of Angels|L.A.|LA|LA City|Los Angeles|los angeles|SoCal|Southern California,,,,,https://www.lacity.org
Tishman Speyer,67,Tishman_Speyer.png,owner/operator,,Tishman Speyer,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Tishman_Speyer.png,Speyer|Tishman,,,,,https://www.tishmanspeyer.com
Wyndham,76,Wyndham.png,tenant,,Wyndham,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Wyndham.png,Baymont|Days Inn|Howard Johnson|La Quinta|Microtel|Ramada|Super 8|Travelodge|Wingate|Wyndham|Wyndham Hotels,,,,,https://www.wyndhamhotels.com
Principal Real Estate Investors,82,Principal_Real_Estate_Investors.png,owner/operator,,Principal Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Principal_Real_Estate_Investors.png,PREI|Principal|Principal RE|principal real estate|Principal Real Estate,,,,,https://www.principalglobal.com
Colliers,68,Colliers.png,property manager,,Colliers Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Colliers.png,Colliers|Colliers International,,,,,https://www.colliers.com
Long Beach Unified School District,67,Long_Beach_Unified_School_District.png,owner,,Long Beach Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Long_Beach_Unified_School_District.png,long beach schools|Long Beach Schools|long beach usd,,,,,https://www.lbusd.org
Hudson Pacific Properties,64,Hudson_Pacific_Properties.png,owner/operator,,Hudson Pacific,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Hudson_Pacific_Properties.png,HPP|hudson pacific|Hudson Pacific,,,,,https://www.hudsonpacificproperties.com
Kimco Realty Corporation,16,Kimco_Realty_Corporation.png,owner/operator,,Kimco Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kimco_Realty_Corporation.png,KIM|Kimco|kimco realty|Kimco Realty,,,,,https://www.kimcorealty.com
San Diego Unified School District,61,San_Diego_Unified_School_District.png,owner,,SD Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/San_Diego_Unified_School_District.png,san diego schools|San Diego Schools|san diego usd|SD Schools|SDUSD,,,,,https://www.sandiegounified.org
Los Angeles County,23,Los_Angeles_County.png,owner,,LA County Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Los_Angeles_County.png,LA County|LAC|los angeles|Los Angeles,,,,,https://www.lacounty.gov
Alexandria Real Estate Equities,39,Alexandria_Real_Estate_Equities.png,owner/operator,,Alexandria Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Alexandria_Real_Estate_Equities.png,Alexandria|Alexandria RE|alexandria real estate|Alexandria Real Estate|ARE,,,,,https://www.are.com
SL Green,52,SL_Green.png,owner/operator,,SL Green,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/SL_Green.png,Green Realty|SL Green|SLG,,,,,https://www.slgreen.com
Ross Stores,61,Ross_Stores.png,tenant,,Ross Stores,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Ross_Stores.png,DD's|ross|Ross|Ross Dress For Less|ROST,,,,,https://www.rossstores.com
Extended Stay America,59,Extended_Stay_America.png,tenant,,Extended Stay America,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Extended_Stay_America.png,ESA|Extended Stay,,,,,https://www.extendedstayamerica.com
Jcpenney,56,Jcpenney.png,owner/occupier,,JCPenney,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Jcpenney.png,JCP|JCPenney|Penney's|Penneys,,,,,https://www.jcpenney.com
New York University (NYU),51,New_York_University_NYU.png,owner/occupier,,NYU,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/New_York_University_NYU.png,Greenwich Village|New York U|nyu|NYU|Violet|Violets|Washington Square,,,,,https://www.nyu.edu
CVS Health,33,CVS_Health.png,tenant,,CVS,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/CVS_Health.png,Caremark|CVS|cvs|CVS Health|CVS Pharmacy,,,,,https://www.cvshealth.com
Fresno Unified School District,54,Fresno_Unified_School_District.png,owner,,Fresno Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Fresno_Unified_School_District.png,Fresno Schools|fresno schools|fresno usd,,,,,https://www.fresnounified.org
GFP Real Estate,46,GFP_Real_Estate.png,owner/operator,,GFP Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/GFP_Real_Estate.png,GFP|GFP Real Estate,,,,,https://www.gfpre.com
Lowe's,58,Lowe_s.png,tenant,,Lowe's,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Lowe_s.png,LOW|Lowe's|Lowes,,,,,https://www.lowes.com
Kohl's,50,Kohl_s.png,owner/occupier,,Kohl's,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kohl_s.png,Kohl's|Kohls|KSS,,,,,https://www.kohls.com
Ventas,53,Ventas.png,owner/operator,,Ventas Healthcare REIT,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Ventas.png,Healthcare REIT|Ventas|Ventas Healthcare REIT|ventas healthcare reit|VTR,,,,,https://www.ventasreit.com
Amazon,41,Amazon.png,owner/occupier,,Amazon,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Amazon.png,Amazon|Amazon Web Services|AMZN|AWS|Prime|Whole Foods,,,,,https://www.amazon.com
Kaufman Organization,46,Kaufman_Organization.png,owner,,Kaufman Org,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kaufman_Organization.png,Kaufman|kaufman,,,,,https://www.kaufmanorganization.com
New York City Police Department (NYPD),0,New_York_City_Police_Department_NYPD.png,tenant,,NYPD,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/New_York_City_Police_Department_NYPD.png,New York Police|NY Cops|NY Police|NYC Police|NYPD|nypd,,,,,https://www.nyc.gov/nypd
Google,45,Google.png,owner/occupier,,Google,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Google.png,Alphabet|GCP|GOOG|GOOGL|Google|Google Cloud|YouTube,,,,,https://www.google.com
Sutter Health,45,Sutter_Health.png,tenant,,Sutter Health,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Sutter_Health.png,Sutter|Sutter Health,,,,,https://www.sutterhealth.org
Beacon Capital Partners,34,Beacon_Capital_Partners.png,owner/operator,,Beacon Capital Partners,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Beacon_Capital_Partners.png,,,,,,https://www.beaconcapital.com
Avison Young,45,Avison_Young.png,property manager,,Avison Young,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Avison_Young.png,Avison|Avison Young|AY,,,,,https://www.avisonyoung.com
Kansas City Public Schools,40,Kansas_City_Public_Schools.png,owner,,KC Public Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Kansas_City_Public_Schools.png,kansas city schools|Kansas City Schools|KC Schools|KCMO|The School District Of Kcmo|KCPS|Kansas City School District,,,,,https://www.kcpublicschools.org
Choice Hotels,42,Choice_Hotels.png,tenant,,Choice Hotels,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Choice_Hotels.png,Ascend|Cambria|Choice|Choice Hotels|Clarion|Comfort Inn|Comfort Suites|Econo Lodge|Quality Inn|Rodeway|Sleep Inn,,,,,https://www.choicehotels.com
Transwestern,42,Transwestern.png,property manager,,Transwestern Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Transwestern.png,Transwestern|TW,,,,,https://transwestern.com
Young Men's Christian Association (YMCA),8,Young_Men_s_Christian_Association_YMCA.png,tenant,,YMCA,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Young_Men_s_Christian_Association_YMCA.png,The Y|YM|ymca|YMCA,,,,,https://www.ymca.org
JBG Smith Properties,33,JBG_Smith_Properties.png,owner/operator,,JBG Smith,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/JBG_Smith_Properties.png,JBG|jbg smith|JBG Smith|JBGS,,,,,https://www.jbgsmith.com
Douglas Development,34,Douglas_Development.png,owner/operator,,Douglas Development,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Douglas_Development.png,,,,,,https://www.douglasdevelopment.com
Blackstone,37,Blackstone.png,owner/operator,,Blackstone,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Blackstone.png,Black Stone|Blackstone|BX,,,,,https://www.blackstone.com
Walgreens,18,Walgreens.png,tenant,,Walgreens,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Walgreens.png,Duane Reade|Walgreens|WBA,,,,,https://www.walgreens.com
Emory University,39,Emory_University.png,owner/occupier,,Emory University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Emory_University.png,Atlanta|Druid Hills|Eagles|emory|Emory|eu,,,,,https://www.emory.edu
Biomed Realty,20,Biomed_Realty.png,owner/operator,,BioMed Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Biomed_Realty.png,,,,,,https://www.biomedrealty.com
Cerberus Capital,39,Cerberus_Capital.png,owner/operator,,Cerberus Capital,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Cerberus_Capital.png,Cerberus|Cerberus Capital,,,,,https://www.cerberus.com
Highwoods Properties,39,Highwoods_Properties.png,owner/operator,,Highwoods Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Highwoods_Properties.png,Highwoods|HIW,,,,,https://www.highwoods.com
Corona-Norco Unified School District,38,Corona_Norco_Unified_School_District.png,owner,,Corona-Norco Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Corona_Norco_Unified_School_District.png,Corona-Norco Schools|corona-norco schools|corona-norco usd,,,,,https://www.cnusd.k12.ca.us
Best Western,38,Best_Western.png,tenant,,Best Western,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Best_Western.png,Best Western|Best Western Plus|Best Western Premier|BW|SureStay,,,,,https://www.bestwestern.com
Shorenstein Properties,38,Shorenstein_Properties.png,owner/operator,,Shorenstein Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Shorenstein_Properties.png,,,,,,https://www.shorenstein.com
University of California,36,University_of_California.png,owner,,UC System,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/University_of_California.png,Berkeley|Bruins|Cal|Cal Berkeley|California|Golden Bears|U of C|u of california|UC|uc|UC Davis|UC Irvine|UC Merced|UC Riverside|UC San Diego|UC Santa Barbara|UC Santa Cruz|uc system|UC System|UCB|UCD|UCI|UCLA|UCR|UCSB|UCSC|UCSD|UCSF|UofC,,,,,https://www.universityofcalifornia.edu
City Of Boston,30,City_Of_Boston.png,owner,,Boston City Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/City_Of_Boston.png,Bean|Beantown|BOS|boston|Boston|The Hub,,,,,https://www.boston.gov
City University of New York (CUNY),30,City_University_of_New_York_CUNY.png,owner/occupier,,CUNY NYC University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/City_University_of_New_York_CUNY.png,Baruch|Brooklyn College|CCNY|City College|City University|CUNY|cuny|Hunter|John Jay|Lehman|Queens College|u of new|u of new york (cuny)|uny(,,,,,https://www.cuny.edu
Roman Catholic Church,35,Roman_Catholic_Church.png,owner,,Catholic Church,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Roman_Catholic_Church.png,Archdiocese|Catholic|Catholic Church|catholic church|Diocese,,,,,https://www.vatican.va
Brookdale Senior Living,35,Brookdale_Senior_Living.png,tenant,,Brookdale Senior Living,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Brookdale_Senior_Living.png,,,,,,https://www.brookdale.com
Starbucks,0,Starbucks.png,tenant,,Starbucks,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Starbucks.png,Coffee|Sbux|SBUX|Starbucks,,,,,https://www.starbucks.com
Jamestown L.P.,32,Jamestown_L_P.png,owner/operator,,Jamestown Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Jamestown_L_P.png,jamestown|Jamestown,,,,,https://www.jamestownlp.com
Ahold Delhaize,30,Ahold_Delhaize.png,tenant,,Ahold Delhaize,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Ahold_Delhaize.png,,,,,,https://www.aholddelhaize.com
Host Hotels & Resorts,34,Host_Hotels_Resorts.png,owner/operator,,Host Hotels,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Host_Hotels_Resorts.png,Host|Host Hotels|host hotels|HST,,,,,https://www.hosthotels.com
Dormitory Authority Of The State Of New York,0,Dormitory_Authority_Of_The_State_Of_New_York.png,tenant,,NY Dormitory Authority,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Dormitory_Authority_Of_The_State_Of_New_York.png,Empire State|New York|New York State|NY|ny dormitory authority|NY Dormitory Authority|NYS,,,,,https://www.dasny.org
Oakmont Senior Living,32,Oakmont_Senior_Living.png,owner/occupier,,Oakmont Senior Living,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Oakmont_Senior_Living.png,,,,,,https://www.oakmontseniorliving.com
Sunrise Senior Living,32,Sunrise_Senior_Living.png,owner/occupier,,Sunrise Senior Living,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Sunrise_Senior_Living.png,,,,,,https://www.sunriseseniorliving.com
Healthcare Realty,32,Healthcare_Realty.png,owner/operator,,Healthcare Realty,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Healthcare_Realty.png,Healthcare|Healthcare Realty|HR,,,,,https://www.healthcarerealty.com
Los Angeles Police Department (LAPD),0,Los_Angeles_Police_Department_LAPD.png,tenant,,LAPD,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Los_Angeles_Police_Department_LAPD.png,LA Cops|LA Police|LAPD|lapd|Los Angeles Police,,,,,https://www.lapdonline.org
Stanford University,28,Stanford_University.png,owner,,Stanford University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Stanford_University.png,Cardinal|Leland Stanford|Stanford|stanford|SU|su|The Farm,,,,,https://www.stanford.edu
Adventist Hospital,31,Adventist_Hospital.png,tenant,,Adventist Hospital,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Adventist_Hospital.png,Advent|AdventHealth|Adventist,,,,,https://www.adventisthealth.org/
Bank of America,16,Bank_of_America.png,tenant,,Bank of America,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Bank_of_America.png,BAC|Bank of America|BoA|BofA|Merrill|Merrill Lynch,,,,,https://www.bankofamerica.com
Desert Sands Unified School District,31,Desert_Sands_Unified_School_District.png,owner,,Desert Sands Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Desert_Sands_Unified_School_District.png,Desert Sands Schools|desert sands schools|desert sands usd,,,,,https://www.dsusd.us
State Of New York,39,State_Of_New_York.png,owner,,NY State Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/State_Of_New_York.png,Empire State|New York|new york|New York State|new york state|NY|NYS,,,,,https://www.ny.gov
Georgetown University,31,Georgetown_University.png,owner/occupier,,Georgetown University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Georgetown_University.png,Georgetown|georgetown|GU|gu|Hilltop|Hoyas,,,,,https://www.georgetown.edu
Providence Health,29,Providence_Health.png,tenant,,Providence Health,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Providence_Health.png,Providence|Providence Health|Swedish,,,,,https://www.providence.org
Columbia University,23,Columbia_University.png,owner,,Columbia University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Columbia_University.png,columbia|Columbia|cu|CU|Lions|Morningside,,,,,https://www.columbia.edu
Best Buy,23,Best_Buy.png,tenant,,Best Buy,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Best_Buy.png,BBY|Best Buy|Geek Squad,,,,,https://www.bestbuy.com
Wework,11,Wework.png,tenant,,WeWork,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Wework.png,We Work|WeWork|WW,,,,,https://www.wework.com
TJX Companies,13,TJX_Companies.png,tenant,TJX Companies (TJX),TJ Maxx,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/TJX_Companies.png,Home Goods|HomeGoods|Marshalls|Sierra|tj maxx|TJ Maxx|TJMaxx|TJX,,,,,https://www.tjx.com
Riverside County,17,Riverside_County.png,owner,,Riverside County Gov,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Riverside_County.png,IE|Inland Empire|Riverside|riverside,,,,,https://www.rivco.org
Nordstrom,22,Nordstrom.png,tenant,,Nordstrom,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Nordstrom.png,JWN|Nordstrom|Nordstrom Rack,,,,,https://www.nordstrom.com
Office Properties Income Trust,29,Office_Properties_Income_Trust.png,owner/operator,,Office Properties,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Office_Properties_Income_Trust.png,Office Properties|office properties|OPI,,,,,https://www.opireit.com
DePaul University,27,DePaul_University.png,owner/occupier,,DePaul University,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/DePaul_University.png,Blue Demons|DePaul|depaul|du|Lincoln Park,,,,,https://www.depaul.edu
Los Angeles World Airports,25,Los_Angeles_World_Airports.png,tenant,,LA World Airports,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Los_Angeles_World_Airports.png,LA Airports|la world airports|LA World Airports|LAWA|LAX|Los Angeles Airports,,,,,https://www.flylax.com
San Bernardino City Unified School District,26,San_Bernardino_City_Unified_School_District.png,owner,,San Bernardino Schools,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/San_Bernardino_City_Unified_School_District.png,san bernardino city schools|san bernardino city usd|san bernardino schools|San Bernardino Schools,,,,,https://www.sbcusd.com
Swift Real Estate Partners,26,Swift_Real_Estate_Partners.png,owner/operator,,Swift Real Estate,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Swift_Real_Estate_Partners.png,swift real estate|Swift Real Estate,,,,,https://swiftrp.com
Department Of Citywide Administrative Services,0,Department_Of_Citywide_Administrative_Services.png,tenant,,NYC DCAS,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Department_Of_Citywide_Administrative_Services.png,citywide administrative|Citywide Administrative|dcas,,,,,https://www.nyc.gov/dcas
Zuckerman Gravely Management,27,Zuckerman_Gravely_Management.png,owner,,Zuckerman Gravely,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Zuckerman_Gravely_Management.png,Zuckerman Gravely|zuckerman gravely,,,,,https://zuckermangravelymanagement.com
T-Mobile,13,T_Mobile.png,tenant,,T-Mobile,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/T_Mobile.png,Magenta|Sprint|T-Mobile|TMobile|TMUS,,,,,https://www.t-mobile.com
Cinemark Holdings,27,Cinemark_Holdings.png,tenant,,Cinemark,https://nationwide-odcv-images.s3.us-east-2.amazonaws.com/logos/Cinemark_Holdings.png,cinemark|Cinemark|Cinemark Theatres|CNK,,,,,https://www.cinemark.com
