SAN JOSE BUILDING ID,STREET,CITY,STATE,ZIP CODE,ASSESSOR PARCEL NUMBER,YEAR BUILT,PRIMARY PROPERTY TYPE,ASSESSOR GROSS FLOOR AREA (ft^2),REPORTED GROSS FLOOR AREA (ft^2),ANNUAL REPORTING YEAR,ANNUAL BENCHMARKING STATUS,BEYOND BENCHMARKING COMPLIANCE YEAR,BEYOND BENCHMARKING COMPLIANCE STATUS,ENERGY STAR SCORE,WEATHER NORMALIZED SITE ENERGY USE INTENSITY (kBTU/ft^2),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (kBTU/ft^2),SITE ENERGY USE INTENSITY (kBTU/ft^2),SOURCE ENERGY USE INTENSITY (kBTU/ft^2),TOTAL ELECTRICITY USE (kWh),TOTAL NATURAL GAS USE (therms),INDIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),DIRECT GREENHOUSE GAS EMISSIONS (metric tons of CO2e),TOTAL GREENHOUSE GAS EMISSIONS (metric tons of CO2e),MUNICIPALLY SUPPLIED WATER INDOOR USE (kgal),MUNICIPALLY SUPPLIED WATER MIXED USE (kgal),MUNICIPALLY SUPPLIED WATER OUTDOOR USE (kgal),RECYCLED WATER INDOOR USE (kgal),RECYCLED WATER MIXED USE (kgal),RECYCLED WATER OUTDOOR USE (kgal),WELL WATER INDOOR USE (kgal),WELL WATER MIXED USE (kgal),WELL WATER OUTDOOR USE (kgal),OTHER WATER INDOOR USE (kgal),OTHER WATER MIXED USE (kgal),OTHER WATER OUTDOOR USE (kgal),TOTAL WATER USE (kgal),WATER USE INTENSITY (gal/ft^2),US EPA WATER SCORE
0032-0-00,6001 america center dr,alviso,CA,95002,1545049,2009,office,212863,212863.0,2024,in compliance,,,100.0,20.1,40.3,21.4,41.6,683096.7,22183.3,165.3,117.8,283.2,40.1,,2628.2,,,,,,,,,,2668.3,12.54,
0033-0-00,6220 america center drive,san jose,CA,95002,1545051,2017,office,215834,220761.0,2024,in compliance,,,94.0,34.8,80.1,35.0,79.4,1575772.0,23475.7,381.4,124.7,506.1,795.6,,1191.8,,,,,,,,,,1987.3,9.0,
0034-0-00,6280 america center dr,alviso,CA,95002,1545052,2017,office,481246,220761.0,2024,in compliance,2024.0,compliant,77.0,82.0,182.6,82.6,181.8,3514620.0,62354.4,850.6,331.2,1181.8,1010.8,,1387.8,,,,,,,,,,2398.6,10.87,
0035-0-00,6201 america center dr,alviso,CA,95002,1545053,2009,office,213800,209212.0,2024,in compliance,2024.0,compliant,81.0,51.5,113.8,50.9,112.3,2062346.0,36195.6,499.1,192.3,691.4,1250.7,,2357.7,,,,,,,,,,3608.5,17.25,
0039-0-00,2155 morrill ave,san jose,CA,95132,9209010,1990,retail store,108268,108268.0,2024,in compliance,,,91.0,52.6,139.3,52.8,138.5,1504679.0,5880.0,364.2,31.2,395.4,1573.1,,,,,,,,,,,,1573.1,14.53,
0040-0-00,2115 morrill ave,san jose,CA,95132,9209011,1972,retail store,24340,24340.0,2024,in compliance,2024.0,not submitted,100.0,1.2,3.3,1.2,3.3,8495.7,,2.1,0.0,2.1,,179.5,,,,,,,,,,,179.5,7.38,
0041-0-00,2105 morrill ave,san jose,CA,95132,9209012,2000,retail store,20317,20317.0,2024,in compliance,2024.0,not submitted,24.0,77.7,214.8,76.8,211.7,446112.0,372.0,101.0,2.0,103.0,26.2,,,,,,,,,,,,26.2,1.29,
0045-0-00,450 holger way,san jose,CA,95134,9703129,1999,other,93210,98432.0,2024,in compliance,,,,175.6,372.3,178.1,372.0,3049957.0,71228.1,738.2,378.3,1116.5,365.2,,,,,1052.3,,,,,,,1417.6,14.4,
0046-0-00,400 holger way,san jose,CA,95134,9703130,2005,data center,76410,76410.0,2024,in compliance,,,84.0,822.1,1058.9,822.1,1058.9,2504058.0,542751.5,606.1,2882.8,3488.9,43.0,,1353.2,,,,,,,,,,1396.3,18.27,
0047-0-00,350 holger way,san jose,CA,95134,9703131,1999,office,96710,96502.0,2024,in compliance,,,32.0,111.0,239.5,111.8,237.8,1946444.0,41488.4,471.1,220.4,691.5,86.6,,0.0,,,79.3,,,,,,,165.9,1.72,
0048-0-00,300 holger way,san jose,CA,95134,9703132,1999,office,99870,101194.0,2024,in compliance,2024.0,exempt,,0.5,1.5,0.5,1.5,16285.6,0.0,3.9,0.0,3.9,19.5,,,,,317.4,,,,,,,336.8,3.33,
0049-0-00,250 holger way,san jose,CA,95134,9703133,1999,office,76410,77209.0,2024,in compliance,2024.0,pending,41.0,70.2,114.8,73.2,118.0,531836.7,38400.8,128.7,204.0,332.7,376.5,,,,,377.5,,,,,,,753.9,9.76,
0062-0-00,191 baypointe pkwy,san jose,CA,95134,9707030,1986,college/university,45848,45800.0,2024,in compliance,2024.0,not submitted,,32.7,83.3,33.6,84.3,375476.7,2586.0,90.9,13.7,104.6,172.5,,136.1,,,,,,,,,,308.6,6.74,
0063-0-00,90 e tasman dr,san jose,CA,95134,9707038,1984,medical office,96154,96154.0,2024,in compliance,,,100.0,45.1,69.1,47.6,71.7,623053.2,24507.2,86.5,130.2,216.6,363.6,,,,,,,,,,,,363.6,3.78,
0064-0-00,3550 n 1st st,san jose,CA,95134,9707040,2000,other - technology/science,76690,76690.0,2024,in compliance,,,,12.9,36.2,12.9,36.2,290402.1,1.8,70.3,0.0,70.3,82.5,,1888.8,,,,,,,,,,1971.2,25.7,
0066-0-00,3590 n 1st st,san jose,CA,95134,9707061,1989,office,85006,84035.0,2024,in compliance,,,88.0,66.5,156.7,67.1,156.3,1207381.0,15204.7,469.3,80.8,550.1,2054.9,,1754.5,,,,,,,,,,3809.5,45.33,
0067-0-00,160 e tasman dr,san jose,CA,95134,9707065,1990,office,110000,109243.0,2024,in compliance,,,80.0,49.0,109.9,50.5,111.5,1069974.0,18608.2,259.0,98.8,357.8,259.1,,1609.6,,,,,,,,,,1868.7,17.11,
0068-0-00,91 e tasman dr,san jose,CA,95134,9707066,1985,office,83632,84049.0,2024,in compliance,,,84.0,24.7,69.1,24.7,69.1,608090.2,,147.2,0.0,147.2,,951.1,,,,,,,,,,,951.1,11.32,
0082-0-00,150-152 river oaks pkwy,san jose,CA,95134,9709019,1984,manufacturing/industrial plant,100024,100024.0,2024,in compliance,,,,7.4,10.6,7.4,10.6,47698.7,5741.6,11.5,30.5,42.0,154.1,,,,,1150.8,,,,,0.0,,1304.9,13.05,
0083-0-00,3300 n 1st st,san jose,CA,95134,9709031,1999,other - technology/science,163550,177103.0,2024,in compliance,,,,125.2,269.0,127.2,271.1,4080380.0,85966.7,987.6,456.6,1444.2,,3068.8,,,,,,,,,,,3068.8,17.33,
0084-0-00,3200 n 1st st,san jose,CA,95134,9709037,1997,other - technology/science,85017,85017.0,2024,in compliance,,,,54.8,116.5,58.2,120.1,840286.9,20767.0,203.4,110.3,313.7,,,,,,,,,,191.3,,678.5,869.7,10.23,
0085-0-00,101 innovation dr,san jose,CA,95134,9709045,1998,office,359360,106462.0,2024,in compliance,,,95.0,40.8,80.6,43.0,83.0,673889.2,22799.9,163.1,121.1,284.2,117.7,,1781.1,,,,,,,,,,1898.8,17.84,
0085-0-01,131 innovation dr,san jose,CA,95134,9709045,1998,office,127890,127890.0,2024,in compliance,,,91.0,197.7,134.6,197.7,134.6,-1563154.0,306195.3,-378.3,1626.4,1248.0,20.0,,1254.0,,,,,,,,,,1274.0,9.96,
0085-1-00,121 innovation dr,san jose,CA,95134,9709044,1998,office,128740,128740.0,2024,in compliance,,,62.0,87.0,218.9,88.5,220.4,2750070.0,20058.1,665.6,106.5,772.1,51.5,,2055.7,,,,,,,,,,2107.2,16.37,
0086-0-00,197 innovation dr,san jose,CA,95134,9709046,2001,parking,249000,259714.0,2024,in compliance,,,,3.1,8.6,3.1,8.5,232303.8,,56.2,0.0,56.2,,,,,,,,,,,,,,,
0087-0-00,190 river oaks pkwy,san jose,CA,95134,9709049,1998,office,142200,141998.0,2024,in compliance,,,,384.1,725.0,384.1,725.0,7651230.0,284364.8,1851.8,1510.4,3362.2,2583.7,,1608.4,,,,,,,,,,4192.1,29.52,
0088-0-00,3137-3151 zanker rd,san jose,CA,95134,9709050,1990,office,201500,201500.0,2024,in compliance,,,,3.3,3.5,3.3,3.5,0.0,6667.2,0.0,35.4,35.4,680.7,,,,,,,,,,,,680.7,3.38,
0090-0-00,110 holger way,san jose,CA,95134,9714087,2010,office,124767,135167.0,2024,in compliance,,,1.0,243.6,655.0,244.3,655.7,9036067.0,21867.8,2187.0,116.2,2303.1,,3586.9,,,1203.4,,,,,,,,4790.3,35.44,
0091-0-00,120 holger way,san jose,CA,95134,9714088,2010,office,218349,227663.0,2024,in compliance,,,43.0,72.1,167.8,73.5,169.2,3509277.0,47556.7,849.3,252.6,1101.9,,1576.9,,,0.0,,,,,,,,1576.9,6.93,
0092-0-00,130 holger way,san jose,CA,95134,9714089,2010,office,218349,236040.0,2024,in compliance,,,,73.3,149.5,74.2,149.1,2813396.0,79210.6,680.9,420.7,1101.7,,2361.3,,,2616.0,,,,,,,,4977.4,21.09,
0092-1-00,95 headquarters dr,san jose,CA,95134,9714096,2010,parking,125323,125323.0,2024,in compliance,,,,21.9,61.3,21.9,61.3,643527.0,,155.8,0.0,155.8,,0.0,,,,1559.3,,,,,,,1559.3,15.56,
0093-0-00,75 headquarters dr,san jose,CA,95134,9714101,2010,hotel,116628,116628.0,2024,in compliance,,,86.0,58.5,115.8,58.0,114.4,1044674.0,32016.4,252.8,170.1,422.9,,2443.5,306.9,,,,,,,,,,2750.5,23.58,
0094-0-00,4180 n. 1st street,san jose,CA,95134,9714104,1976,restaurant,20329,24624.0,2024,in compliance,,,,369.2,659.7,369.1,654.6,1101088.0,53321.8,249.3,283.2,532.5,0.0,,,,,,,,,,,,0.0,0.0,
0095-0-00,95 holger way,san jose,CA,95134,9714107,2010,retail store,137954,137954.0,2024,in compliance,,,87.0,50.0,127.5,50.2,126.6,1707818.0,10923.0,413.3,58.0,471.4,1999.0,,,,,,,,,,,,1999.0,14.49,
0096-0-00,111 holger way,san jose,CA,95134,9714108,2013,hotel,98905,18650.0,2024,in compliance,,,4.0,335.6,603.7,336.9,602.2,776167.0,36344.6,187.9,193.0,380.9,3741.3,,,,,746.5,,,,,,,4487.8,240.63,
0097-0-00,2670 seely ave bldg 11,san jose,CA,95134,9715028,1995,office,136602,141033.0,2024,in compliance,,,1.0,702.2,1966.2,702.2,1966.2,29025440.0,,7025.0,0.0,7025.0,,,,,,,,,,2157.0,,931.6,3088.7,21.9,
0105-0-00,260 innovation dr,san jose,CA,95134,9733105,1986,office,103227,102821.0,2024,in compliance,,,12.0,158.7,410.7,160.5,412.6,4203030.0,21615.0,1017.3,114.8,1132.1,,237.9,,,,,,,,,,,237.9,2.31,
0106-0-00,355 river oaks pkwy,san jose,CA,95134,9733111,1980,manufacturing/industrial plant,200723,194000.0,2024,in compliance,,,,158.9,412.3,158.6,409.8,7903363.0,38101.0,1912.8,202.4,2115.2,1278.5,,3658.4,,,,,,,0.0,,,4937.0,25.45,
0108-0-00,270 innovation dr,san jose,CA,95134,9733115,1986,office,103103,104303.0,2024,in compliance,,,8.0,152.6,354.7,153.2,353.8,3369735.0,44843.0,815.6,238.2,1053.8,,1783.0,,,,,,,,,,,1783.0,17.09,
0109-0-00,250 innovation drive,san jose,CA,95134,9733116,1986,parking,375461,163034.0,2024,in compliance,,,,120.8,310.4,122.4,312.1,5013050.0,28549.0,1213.3,151.6,1364.9,,2263.2,,,,,,,,,,,2263.2,13.88,
0110-0-00,280 innovation dr,san jose,CA,95134,9733118,1986,office,161811,162840.0,2024,in compliance,,,72.0,67.0,158.7,69.1,160.9,2409384.0,30361.0,583.1,161.3,744.4,,1484.5,,,,,,,,,,,1484.5,9.12,
0124-0-00,3939 n 1st st,san jose,CA,95134,9753008,1984,office,64336,64399.0,2024,in compliance,,,,39.7,103.8,40.8,105.0,669684.3,3400.4,162.1,18.1,180.1,,890.2,,,,,,,,,,,973.1,15.12,
0125-0-00,3901 n 1st st,san jose,CA,95134,9753009,2016,office,65188,65188.0,2024,in compliance,,,44.0,84.6,180.9,88.6,183.7,989936.8,23970.2,239.6,127.3,366.9,,371.9,735.5,,,,,,,,,,1107.4,16.99,
0126-0-00,3833 n 1st st,san jose,CA,95134,9753010,1980,office,80908,80908.0,2024,in compliance,,,91.0,40.3,91.8,42.3,93.9,670803.0,11329.8,162.4,60.2,222.5,302.2,,,,,,,,,,,,302.2,3.74,
0128-0-00,198 champion ct,san jose,CA,95134,9753019,2002,laboratory,111450,111450.0,2024,in compliance,,,,290.6,813.7,290.6,813.7,9492750.0,,2297.5,0.0,2297.5,,,,866.4,,1257.3,,,,,,,2123.7,19.06,
0129-0-00,195 champion ct,san jose,CA,95134,9753020,1986,laboratory,60370,60370.0,2024,in compliance,,,,50.0,140.0,50.0,140.0,884880.0,,214.2,0.0,214.2,158.9,,,,,1677.3,,,,,,,1836.3,30.42,
0131-0-00,3725 n 1st st,san jose,CA,95134,9753025,2015,office,70656,223899.9,2024,in compliance,,,,1.6,4.4,1.6,4.4,102245.3,,24.7,0.0,24.7,,,332.9,,,,,,,,,,332.9,1.49,
0133-0-00,225 w tasman dr,san jose,CA,95134,9753032,1995,office,140210,137761.0,2024,in compliance,2024.0,compliant,73.0,49.5,120.3,49.5,120.3,1619705.0,14749.1,392.0,78.3,470.4,0.0,663.8,2655.1,,,,,,,,,,3318.9,23.46,
0134-0-00,255 w tasman dr,san jose,CA,95134,9753033,1995,office,320053,181249.0,2024,in compliance,2024.0,compliant,60.0,58.9,143.3,60.8,145.4,2563772.0,26682.2,620.5,141.7,762.2,,4414.0,,,,,,,,,,,4414.0,23.51,
0134-0-01,285 w tasman,san jose,CA,95134,9753033,1995,office,141429,141429.0,2024,in compliance,2024.0,compliant,96.0,28.3,60.5,27.2,57.6,687563.5,15040.5,166.4,79.9,246.3,,3397.3,,,,,,,,,,,3397.3,24.02,
0135-0-00,3655 n 1st st,san jose,CA,95134,9753034,2015,office,636145,636145.0,2024,in compliance,,,12.0,148.3,326.7,151.4,329.9,18214420.0,341629.9,4408.4,1814.6,6223.0,9981.6,,3690.6,,,,,,,,,,13672.2,21.49,
0136-0-00,250 w tasman dr,san jose,CA,95134,9754015,2016,office,95550,93959.0,2024,in compliance,,,97.0,16.8,46.9,17.3,48.4,481270.0,0.0,116.5,0.0,116.5,,1097.2,,,,,,,,,,,1097.2,11.55,
0137-0-00,230 w tasman dr,san jose,CA,95134,9754016,1995,office,95484,95484.0,2024,in compliance,,,59.0,85.9,176.1,87.7,176.5,1349330.0,37716.4,326.6,200.3,526.9,91.8,,1124.3,,,,,,,,,,1216.1,12.74,
0138-0-00,210 w tasman dr,san jose,CA,95134,9754017,1994,office,95939,95113.0,2024,in compliance,,,89.0,62.6,142.3,65.2,144.6,1213306.0,20585.8,293.7,109.3,403.0,18.7,,1674.3,,,,,,,,,,1693.1,17.8,
0139-0-00,190 w tasman dr,san jose,CA,95134,9754018,1994,office,95948,97407.0,2024,in compliance,,,58.0,106.1,227.1,108.7,229.9,1888499.0,41459.0,457.1,220.2,677.3,392.8,,1995.9,,,,,,,,,,2388.7,24.52,
0142-0-00,51 rio robles,san jose,CA,95134,9755017,1984,mixed use property,60566,60566.0,2024,in compliance,,,,390.3,944.6,394.0,948.4,5424391.0,53532.3,1312.9,284.3,1597.2,,3375.2,,,,,,,,,,,3375.2,55.73,
0143-0-00,77 rio robles,san jose,CA,95134,9755018,1986,office,68243,68243.0,2024,in compliance,,,75.0,27.6,76.7,27.6,76.7,545101.5,220.7,131.9,1.2,133.1,,2923.4,,,,,,,,,,,2923.4,42.84,
0144-0-00,125 rio robles,san jose,CA,95134,9755021,1997,other - technology/science,107530,104500.0,2024,in compliance,,,,241.3,619.9,242.6,617.5,6347924.0,36964.2,1536.4,196.3,1732.7,3718.6,,1272.4,,,,,,,,,,4991.0,47.76,
0145-0-00,145 rio robles,san jose,CA,95134,9755022,1984,office,56895,57586.0,2024,in compliance,2024.0,compliant,62.0,51.9,97.9,51.9,97.9,418447.2,15617.6,101.3,83.0,184.2,,1312.8,,,,,,,,,,,1312.8,22.8,
0145-1-00,80 w tasman dr,san jose,CA,95134,9755024,1997,other - technology/science,104520,104520.0,2024,in compliance,,,,27.1,49.1,28.7,50.4,355841.4,17804.1,86.1,94.6,180.7,804.9,,1434.8,,,,,,,,,,2239.7,21.43,
0147-0-00,2655 seely ave bldg 10,san jose,CA,95134,9766008,2010,office,208000,204395.0,2024,in compliance,,,,107.9,266.2,104.2,255.6,5005617.0,42169.7,1211.5,224.0,1435.5,5840.1,,,,,,,,,,,829.7,6669.8,32.63,
0148-0-00,2655 seely ave bldg 9,san jose,CA,95134,9766009,2005,office,84710,83126.0,2024,in compliance,,,,142.2,362.0,142.2,362.0,2960074.0,17232.8,716.4,91.5,808.0,,,,,,,,,,369.6,,,369.6,4.45,
0149-0-00,2655 seely ave bldg 8,san jose,CA,95134,9767005,2005,office,68139,68001.0,2024,in compliance,,,,52.6,117.0,55.4,119.9,703358.7,13672.4,170.2,72.6,242.9,,,,,,,,,,47.6,,,47.6,0.7,
0150-0-00,2655 seely ave bldg 5,san jose,CA,95134,9767007,1985,office,90031,89656.0,2024,in compliance,,,,59.7,84.0,59.7,84.0,319980.1,42642.9,77.4,226.5,303.9,222.5,,,,,,,,,,,,222.5,2.48,
0150-1-00,2655 seely ave bldg 6,san jose,CA,95134,9767007,1985,office,63593,63593.0,2024,in compliance,,,,96.9,225.5,100.1,228.8,1317673.0,18671.7,318.9,99.2,418.1,159.2,,,,,,,,,,,,159.2,2.5,
0151-0-00,2655 seely ave bldg 7,san jose,CA,95134,9767008,1998,office,58314,54800.0,2024,in compliance,,,,2739.6,7658.7,2692.0,7523.4,43105410.0,4467.4,10432.8,23.7,10456.5,126.1,,,,,,,,,,,,126.1,2.3,
0152-0-00,695 river oaks pkwy,san jose,CA,95134,9768001,1982,office,21721,21721.0,2024,in compliance,2024.0,exempt,91.0,29.4,76.5,29.4,76.5,166284.8,704.4,40.2,3.7,44.0,,162.9,,,,,,,,,,,162.9,7.5,
0152-0-01,677 river oaks pkwy,san jose,CA,95134,9768001,1982,laboratory,43697,43697.0,2024,in compliance,2024.0,exempt,,278.3,729.4,279.5,730.6,3198929.0,12971.7,774.2,68.9,843.1,,450.1,,,,,,,,,,,450.1,10.3,
0152-0-02,683 river oaks pkwy,san jose,CA,95131,9768001,1982,office,26676,26676.0,2024,in compliance,2024.0,exempt,29.0,59.3,131.3,58.7,129.5,303431.5,5304.1,73.4,28.2,101.6,42.4,,0.0,,,,,,,,,,42.4,1.59,
0153-0-00,631 river oaks pkwy,san jose,CA,95134,9768002,1981,office,27629,27629.0,2024,in compliance,2024.0,exempt,85.0,30.9,69.9,31.7,70.8,173489.3,2850.7,42.0,15.1,57.1,,137.6,1146.8,,,,,,,,,,1284.4,46.49,
0153-0-01,641-645 river oaks pkwy,san jose,CA,95134,9768002,1982,office,27652,27652.0,2024,in compliance,,,,19.4,41.1,20.6,42.4,96048.0,2420.6,23.2,12.9,36.1,,206.6,,,,,,,,,,,206.6,7.47,
0153-0-02,651 river oaks pkwy,san jose,CA,95134,9768002,1983,office,35840,35840.0,2024,in compliance,,,50.0,38.5,99.4,39.3,100.3,354499.3,1973.7,85.8,10.5,96.3,80.3,,,,,,,,,,,,80.3,2.24,
0154-0-00,611-621 river oaks pkwy,san jose,CA,95134,9768003,1983,office,53510,53510.0,2024,in compliance,2024.0,exempt,1.0,811.1,861.7,811.5,862.8,318095.3,423403.7,24.7,2248.9,2273.6,,5.2,,,,,,,,,,,5.2,0.1,
0154-0-01,625-627 river oaks pkwy,san jose,CA,95134,9768003,1982,office,36886,36886.0,2024,in compliance,,,74.0,30.8,68.8,32.5,70.6,225457.7,4283.0,54.6,22.7,77.3,289.9,,1782.5,,,,,,,,,,2072.4,56.18,
0155-0-00,670 river oaks pkwy,san jose,CA,95134,9771004,1989,strip mall,95036,22382.0,2024,in compliance,,,,107.7,222.0,106.3,218.0,399069.6,10168.7,96.6,54.0,150.6,,513.7,,,,,,,,,,,513.7,22.95,
