X,Y,objectid,y_lat,x_lon,id,portfolio_manager_id,property_name,street_address,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,electric_use_kbtu,natural_gas_use_kbtu,fuel_oil_02_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,source_eui_kbtuft2,weather_norm_site_eui_kbtuft2,weather_norm_source_eui_kbtuf,total_ghg_emissions_mtco2e,water_use_all_kgal,water_score,estar_certified,compliance_type,benchmarking_status,data_year,point_x,point_y,philadelphia_building_id
-8367429.88289734,4858477.46147722,30,39.94859696,-75.16589636,97041,11683037,(PA2649) - The Aria Condo (1425 Locust Street),1425 Locust Street,19102,1,1900,Multifamily Housing,,6562009.6,99009,,1493721.7,12,56.6,140.7,58.9,147,680.3,,,no,Voluntary Compliance,Voluntarily Complied,2023,2692906.71417031,234733.95040356,888093600
-8367587.79168862,4858205.27322756,31,39.94672247,-75.16731487,166258,4936576,The Drake,1512 Spruce Street,19102,1,1929,Multifamily Housing,,6987557.6,565950,,17800474.6,,132.4,217,145,231,1825.2,11491,,no,Voluntary Compliance,Voluntarily Complied,2023,2692529.13815381,234039.76445597,888071440
-8367718.3781026,4858456.65284391,32,39.94845366,-75.16848795,97239,3772776,Lenfest Hall,1616 Locust St.,19103,,2011,College/University,83043,5625040.3,4160327.5,,,,103.3,212.3,107.7,216.6,726.5,2423.3,,no,Required Compliance,Complied,2023,2692181.93904506,234660.52240081,881030550
-8367799.48681382,4859072.75755256,33,39.95269644,-75.16921654,98007,1060573,1700 Market Street,1700 Market Street,19103,,1968,Office,1183616,35782906.4,,,17565896.7,80,57.1,129.9,65.1,141.3,4306.8,10807.3,,yes,Required Compliance,Complied,2023,2691932.58258839,236199.46354865,883032000
-8368255.92330225,4858947.99126469,34,39.95183727,-75.17331677,165385,23409066,The Republic,1930 Chestnut St,19103,,2003,Multifamily Housing,117495,5673688.6,,,1665924.8,25,55.1,134.3,60.2,145.8,608.6,5994.3,33,no,Required Compliance,Complied,2023,2690792.67968448,235853.05183989,881564050
-8368159.28328916,4859130.68712417,35,39.95309537,-75.17244864,96232,3216590,1900 Market Street,1900 Market Street,19103,,1981,Office,500000,14594185.1,3878702.3,,,100,37.8,92,43.6,103,1486.9,2443.6,,yes,Required Compliance,Complied,2023,2691022.5899858,236318.2595709,883034000
-8368180.78032734,4859244.87969064,36,39.95388171,-75.17264175,96397,4992930,"1919 Market St (mk51, ma410)",1919 Market Street,19103,,2016,Multifamily Housing,455000,12211971.1,4183427.2,,,69,44.9,105.6,46.8,109.2,1294,11734.3,51,no,Required Compliance,Complied,2023,2690960.11471705,236603.01096989,881035640
-8368103.39634926,4859233.84883261,37,39.95380575,-75.1719466,96426,3505831,Independence Blue Cross,1901 Market Street,19103,,1988,Office,760635,30219950.9,16324272.4,,,76,55.2,120.8,60.4,126.4,3582.7,5897.6,,no,Required Compliance,Complied,2023,2691155.7255463,236581.03955714,883034200
-8368797.87623088,4859975.70294963,38,39.95891408,-75.17818518,97942,20660543,Edgewater,2323 Race Street,19103,,2005,Multifamily Housing,348200,10635739.7,156126.8,,,95,28,77.8,28.2,77.9,941.7,9100.3,77,yes,Required Compliance,Complied,2023,2689353.28295697,238390.13239564,881555000
-8367679.66209318,4858790.50850534,39,39.95075278,-75.16814015,96226,34866867,Scully The Sansom,1605 Sansom Street,19103,,2013,Multifamily Housing,88978,2880127.2,650073.7,,,59,39.7,98.3,40.3,99,293.3,,,no,Required Compliance,Complied,2023,2692254.92643189,235500.54270239,881547010
-8368014.79794603,4859107.58860719,40,39.9529363,-75.17115071,178714,29230,1818 Market Street,1818 Market St Suite 1120,19103,,1973,Office,1143040,36303816.5,,,20108711.9,78,56.4,125.9,62.4,133.7,4521.3,7949.2,,yes,Required Compliance,Complied,2023,2691388.00723398,236270.96274948,883033001
-8367763.37268721,4859494.80753521,41,39.95560272,-75.16889212,96654,1218039,Three Logan Square,1717 Arch Street,19103,,1990,Office,1200000,49098714.1,,,17291176.9,76,64.5,153.8,70.4,160.9,5457.2,11732.2,,yes,Required Compliance,Complied,2023,2691992.55753405,237260.3757969,883059004
-8368518.10043829,4858847.25638484,42,39.95114359,-75.17567194,96561,5002018,(PA2219) - 2101 Cooperative Inc. (118 South 21st Street),118 South 21st Street,19103,,1953,Multifamily Housing,305280,6953915.3,87620.4,,,99,22,61.1,22.8,63.3,629.6,,,no,Required Compliance,Complied,2023,2690140.03105539,235581.20330222,881026500
-8367116.63262734,4856855.62752806,43,,,95856,,,1201-21 WASHINGTON AVE,19147,,,,90090,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2693814.51320772,230689.78132656,884005170
-8367779.72716724,4858858.0232932,44,39.95121771,-75.16903904,178666,6019401,1700 Chestnut Street,1700 Chestnut Street,19103,,1950,Multifamily Housing,51260,6190514.4,,,,18,58.7,164.2,,,543.3,4366.2,,no,Required Compliance,Complied,2023,2691998.06638131,235662.47249664,881562500
-8367927.29262731,4859205.74930421,45,39.95361225,-75.17036464,178704,26081,12589 Ten Penn Center,1801 Market Street,19103,,1981,Office,708750,21473937.2,,,9377899.6,78,42.8,99,46.1,103.4,2507.3,5047.5,,yes,Required Compliance,Complied,2023,2691601.10063981,236523.53114198,883054000
-8367992.27890658,4860123.26146241,46,39.95993008,-75.1709484,166235,4830371,Central Library,1901 Vine St,19103,,1922,Municipal,131664,18541500.6,348214.2,,5179129.9,,119.9,291.6,128.5,300.8,2028.6,4947.6,,no,Required Compliance,Complied,2023,2691370.30352922,238819.24899148,782598210
-8367673.54775017,4859052.98346616,47,39.95256027,-75.16808522,96260,1840857,One Liberty Place,1650 Market Street,19103,,1987,Office,1464000,64956052.4,,,,73,48.7,136.2,50.9,142.4,5710.6,5081.2,,no,Required Compliance,Complied,2023,2692251.07145272,236159.15030906,883031676
-8368600.66010958,4859143.10077351,48,39.95318086,-75.17641358,179011,3970936,College of Physicians,19 S. 22nd Street,19103,,1909,Museum,68967,3041280.4,,,3709723.1,,97.9,188.2,100,190.2,513.2,724.6,,no,Required Compliance,Complied,2023,2689910.56563506,236316.97184381,772525500
-8367582.56060241,4859198.78215399,49,39.95356426,-75.16726787,166324,1650661,Four Penn Center,1600 JFK Blvd,19103,,1964,Office,544200,22521823.8,,,13615159,80,65.5,143.9,68.9,147.2,8043,5540.1,,yes,Required Compliance,Complied,2023,2692469.42797139,236531.43335715,883056000
-8367937.3650653,4859095.23962565,50,39.95285126,-75.17045512,97334,3161456,1007 - Sonesta Philadelphia Rittenhouse Square 1800 Market St - SVC,1800 Market Street,19103,,1970,Hotel,275500,13261297.6,19867704.5,,,42,116.7,204.2,122,209,2219.1,18084,,no,Required Compliance,Complied,2023,2691583.8408318,236245.69278689,883700600
-8367724.85760907,4859372.35937225,51,39.95443571,-75.16940746,98019,1767519,Comcast Center,1701 JFK Blvd,19103,,2008,Office,1200021,81936928.1,1754764.5,,18955682.6,79,63.3,156.7,64.8,158.5,8542.9,22885.8,,yes,Required Compliance,Complied,2023,2692098.48842455,236956.18677273,883056605
-8367686.69394204,4859448.63756721,52,39.95528479,-75.1682033,95730,21671936,The Arch,100 N. 17th Street,19103,,1912,Multifamily Housing,126840,6291796.2,,,491677.3,25,53.5,143.6,54.1,144.3,584.8,4459.1,75,no,Required Compliance,Complied,2023,2692188.96560581,237150.25462607,881035950
-8368459.53110647,4858639.90338784,53,39.94971565,-75.17514581,96570,18245327,The Carlyle,2031 Locust Street,19103,,1928,Multifamily Housing,124040,2083493.8,,,,15,289.7,811,289.8,811.5,187.2,2604.9,1,no,Required Compliance,Complied,2023,2690302.64129446,235065.55374298,881029000
-8368287.16542092,4858794.83108329,54,39.95078256,-75.17359742,96458,33399848,135 S 20th St. Philadelphia PA 19103,135 S 20th St. Philadelphia PA 19103,19103,,1980,Multifamily Housing,85328,1023797.9,464470.2,,,100,17.4,39.3,17.4,39.3,116.7,1128.1,99,no,Required Compliance,Complied,2023,2690725.23723406,235466.70385931,881026300
-8368262.24669046,4858887.43121854,55,39.95142024,-75.17337358,97231,3155346,Kate's Place,1929 Sansom St,19103,,1900,Residence Hall/Dormitory,69540,2626191.5,2822750.4,,,42,90.8,172,101.3,185.8,385.9,6719.7,,no,Required Compliance,Complied,2023,2690781.1928308,235700.73226264,886617500
-8367803.00534551,4858577.5475859,56,39.94928622,-75.16924816,98030,20965193,Warwick Hotel Rittenhouse Square,220 South 17th Street,19103,,2015,Multifamily Housing,551838,19471458.3,2506450.4,,8773785.7,54,66.9,147.2,70.3,154.1,2465.5,18169.1,,no,Required Compliance,Complied,2023,2691960.02347839,234957.45028465,883703900
-8367561.87256345,4859243.66326914,57,39.95387332,-75.16708202,156800,1637817,One Penn Center,1617 John F. Kennedy Blvd,19103,,1929,Office,798189,22717263.2,4519355.6,,,85,38.4,96.3,41,100,2233.8,6353.8,,yes,Required Compliance,Complied,2023,2692518.2149473,236645.4931684,883339500
-8368996.55441143,4858916.80882436,58,39.95162256,-75.17996995,178614,3417370,2401 Walnut,2401 Walnut Street,19103,,1925,Office,148496,5399066.9,893524.1,,,84,38.4,98,38.4,98,521.3,2796.9,,no,Required Compliance,Complied,2023,2688930.46359263,235720.51568764,883039105
-8367679.55868698,4858949.88526537,59,39.95185031,-75.16813922,97317,3681741,The Shops at Liberty Place,1625 Chestnut St.,19103,,1990,Enclosed Mall,144660,23931447.3,1119776.4,,,,123.8,336.7,129.5,352.5,2162.5,6237.1,,no,Required Compliance,Complied,2023,2692243.49961747,235900.19052514,882862100
-8368384.98962007,4859300.77215091,60,39.9542666,-75.17447618,166325,16288,One Commerce Square,2005 Market Street,19103,,1987,Office,1152520,60978342.8,,,,52,61.4,171.9,63.1,176.7,5351.7,10166.3,,no,Required Compliance,Complied,2023,2690441.95827305,236728.15507656,883054371
-8365932.7463002,4859101.87842367,61,,,98199,3689195,Cast Iron Building,718 Arch Street,19105,,1881,Office,139020,3384142,1044724.5,,,93,35.7,85.3,38.4,89.7,352.5,1483.5,,no,Required Compliance,Complied,2023,2696629.75199981,236410.29941306,883009530
-8367900.12571484,4859610.41639747,62,39.95639879,-75.17012058,96373,1485500,One Logan Square,130 North 18th Street,19103,,1983,Office,735630,36965096.2,13359499.7,,,81,53.1,124,56.3,127.3,3953.8,6756.6,,yes,Required Compliance,Complied,2023,2691639.83973555,237540.18560472,883061505
-8367965.00978834,4859529.77234964,63,39.95584349,-75.17070345,166255,4626213,The Lofts @ 1835 Arch,1835 Arch Street,19103,,2001,Multifamily Housing,254000,7634408,,,6506750.7,34,52.4,108.2,54.6,111.5,1102.1,,,no,Required Compliance,Complied,2023,2691482.41682206,237333.21095306,881035900
-8368296.0136453,4859285.89124804,64,39.95416413,-75.1736769,96314,16290,Two Commerce Square,2001 Market Street,19103,,1992,Office,1152480,,,,,,,,,,,,,no,Required Compliance,Complied,2023,2690667.03032947,236697.37757906,883054361
-8367446.75253049,4859644.36870021,65,,,97948,33054993,Friends Select School,1600-46 RACE ST,19103,,1965,K-12 School,100392,4322918.7,200322.6,,,88,36.2,98.5,35.9,97.6,399.1,1873.3,,no,Required Compliance,Complied,2023,2692778.60681497,237658.69094515,772199000
-8369009.63162424,4858703.6778267,66,,,95790,5044744,Locust Point Condominium Association,2429-42 Locust St,19103,1,2007,Multifamily Housing,,3905962.1,,,,56,45.4,127.2,45.4,127.2,351,2112.5,90,no,Voluntary Compliance,Voluntarily Complied,2023,2688913.09912606,235185.1220734,888049620
-8367928.23960374,4858649.69922697,67,39.9497831,-75.17037316,156727,3080640,Rittenhouse Claridge,201 S. 18th St.,19103,,1951,Multifamily Housing,465000,6754272.4,19298572.9,,,83,60.1,90.3,64.3,94.3,1617.8,13268.8,68,no,Required Compliance,Complied,2023,2691639.45653422,235129.16253965,881027000
-8369095.79069719,4858707.15845424,68,39.95017882,-75.18086141,96060,6684910,Locust on the Park (lc003),201 S 25th St,19103,,2016,Multifamily Housing,198064,5367581,1837300,,,50,36.4,85.6,43.9,100.9,568.7,4238.3,74,no,Required Compliance,Complied,2023,2688695.93945539,235187.53709482,881032850
-8369012.31467639,4858836.48235919,69,39.9510694,-75.18011153,95831,3885307,Walnut Bridge Parking & Storage,200 South 24th St,19103,,1913,Parking,101676,1572121.6,39979.4,,,,25,69,25.3,69.3,143.4,27.6,,no,Required Compliance,Complied,2023,2688896.65099622,235517.9399773,884055850
-8367943.60810329,4859344.81637245,70,39.95456988,-75.1705112,157877,4000464,"The Sterling Apts (sr43,sl43)",1801 John F Kennedy Blv,19103,,1961,Multifamily Housing,738207,19525180.2,25787542.8,,,69,55.2,99.6,61.5,106.2,3083.3,20069.6,59,no,Required Compliance,Complied,2023,2691549.84057172,236871.03044698,881035000
-8368892.460417,4858813.80003683,71,39.9509132,-75.17903486,96236,4964838,Riverloft (rv67),2300 Walnut St.,19103,,1910,Multifamily Housing,247464,16965733.3,1641499.9,,,1,86.1,227.8,92.4,245.3,1576.2,5044.2,65,no,Required Compliance,Complied,2023,2689200.03654431,235469.8478819,881028800
-8367862.60620348,4859512.72533513,72,39.9557261,-75.16978354,96383,1485534,Two Logan Square,100 North 18th Street,19103,,1988,Office,803012,49984469.3,,,,,61.9,173.2,61.9,173.2,4386.8,10144.6,,yes,Required Compliance,Complied,2023,2691741.4448473,237298.00039356,883061805
-8367687.77043211,4859502.28784946,73,39.95565422,-75.16821297,178622,34554328,1700 Benjamin Franklin Parkway,1700 Benjamin Franklin Parkway,19103,,1962,Hotel,340000,9704738,2488374.2,,,88,35.8,87.3,35.8,87.3,983.9,2356.4,,no,Required Compliance,Complied,2023,2692182.32191831,237284.69628631,883720300
-8367996.52668923,4859758.41295609,74,39.95741787,-75.17098656,96856,3789969,Academy of Natural Sciences of Drexel University,1900 Benjamin Franklin Parkway,19103,,1876,Museum,151440,11177053.5,2052,,4756418.4,,63.7,148.1,63.5,147.4,1320.3,19.7,,no,Required Compliance,Complied,2023,2691386.3333528,237904.16978489,772734500
-8367591.09130735,4860116.05462252,75,39.95988045,-75.16734448,166257,6291862,One Franklin Town,1 Franklin Town Boulevard,19103,,1988,Multifamily Housing,416100,11225087.6,4360789.9,,,90,29.9,69,32.9,76.6,1216.8,14277.4,47,no,Required Compliance,Complied,2023,2692380.67388381,238830.70041214,881146350
-8368239.66973725,4859545.00492308,76,39.95594838,-75.17317075,178699,3774261,100 N. 20th Street,100 North 20th Street,19103,,1981,Office,95000,2872195,603845.9,,,86,39,97.3,43,104.1,284.1,787.2,,no,Required Compliance,Complied,2023,2690789.90475564,237351.21485406,883066000
-8368969.07776073,4859041.00645139,77,39.95247782,-75.17972312,96756,23316373,2400 Chestnut,2400 Chestnut Street,19103,,1980,Multifamily Housing,364898,11820522.6,1220340.8,,,76,34.4,90.8,36.7,97.2,1127.1,6564.5,94,no,Required Compliance,Complied,2023,2688990.56813122,236033.9550214,881024000
-8367932.87500886,4858734.5950693,78,39.95036774,-75.17041479,165379,4392911,AKA Rittenhouse Square,135 South 18th Street,19103,,1912,Multifamily Housing,84000,3797300.1,2437591.2,,,16,62.5,132.3,66.2,141.5,470.7,3082.7,48,no,Required Compliance,Complied,2023,2691621.56680623,235341.70345314,883707000
-8368119.02690549,4859375.73311873,79,39.95478278,-75.17208701,96089,6777754,"(PA2610) - Kennedy House, Inc. (1901 John F. Kennedy Boulevard)",1901 John F. Kennedy Boulevard,19103,,1969,Multifamily Housing,623182,18665093.5,,,7541458.1,90,32.8,76.7,35.5,83.2,2138.9,,,no,Required Compliance,Complied,2023,2691105.98975338,236935.65302114,881035500
-8367541.87832585,4859738.93579762,80,39.95728374,-75.1669024,178671,30688984,Sheraton Philadelphia Downtown,201 North 17th Street,19103,,1976,Hotel,696000,27266646.6,1785850.1,,31415783.7,79,70.9,136.1,72.8,137.7,4573.8,9102.9,,no,Required Compliance,Complied,2023,2692532.21393505,237888.79284714,883720000
-8367417.75902495,4858564.81329224,81,39.94919852,-75.16578744,97691,6313492,1430 Walnut Street,1430 Walnut Street,19102,1,2015,Mixed Use Property,,9140236.2,7157352.8,,,,265.3,538.9,273.5,547.6,1182.3,4224.8,,no,Voluntary Compliance,Voluntarily Complied,2023,2692930.82501447,234953.88762772,882037110
-8367596.03090411,4859040.69373717,82,39.95247564,-75.16738887,96049,1750750,"1600 MARKET STREET, Site #602760",1600 MARKET ST,19103,,1983,Office,859989,26361108.6,12913696,,,82,43.1,95.8,47,100.5,2999.4,4576.4,,yes,Required Compliance,Complied,2023,2692447.11403964,236134.04176347,883031500
-8367821.59545286,4859001.90763391,83,39.95220855,-75.16941515,157896,1440658,Duane Morris Plaza,30 South 17th Street,19103,,1975,Office,659340,34991561.3,,,10534111.1,77,63.4,154.1,66.9,158,3843.9,11706,,yes,Required Compliance,Complied,2023,2691882.11910664,236020.18208306,883051500
-8367770.14189999,4859594.94712751,84,39.95629227,-75.16895292,178668,11613041,1776 Ben Franlkin Parkway,1776 Ben Franklin Parkway,19103,,1950,Hotel,246512,8277430.1,9132166,,,51,70.6,132.9,71.6,135.6,1211.5,7172.3,,no,Required Compliance,Complied,2023,2691968.17700538,237510.96256606,883721000
-8368684.88741708,4859172.10916725,85,39.95338062,-75.17717021,166273,5026800,John Fox Towers,22 South 22nd Street,19103,,1966,Multifamily Housing,304676,5763424.2,8085645.5,,,54,65.1,115.8,70.4,120.9,935.3,13041.7,17,no,Required Compliance,Complied,2023,2689696.41317622,236383.52912539,886930301
-8367822.14833326,4859208.32547397,86,39.95362999,-75.16942011,96195,1750728,"1735 MARKET STREET - OFFICE, Site # 602850",1735 MARKET ST OFC,19103,,1990,Office,1449928,70756350,2143.6,,,72,51.3,143.6,53.5,149.9,6358.5,11072.4,,no,Required Compliance,Complied,2023,2691865.59847039,236537.72599548,883053525
-8367933.69263953,4859406.27912074,87,39.95499312,-75.17042213,98045,15658881,Comcast Technology Center,1800 Arch Street,19103,,2018,Office,212310,103897242.5,8959806.2,,45007536.5,77,86.8,194.9,91.2,199.9,12582.7,34601,,yes,Required Compliance,Complied,2023,2691570.29820797,237025.87101656,883700200
-8368893.69609093,4859307.15435051,88,39.95431056,-75.17904596,178726,6792817,2400 Market VII LP,2400 Market Street,19103,,1921,Office,600523,52560529.3,8883166.1,,,78,117.7,299.8,118.3,298.8,5084.7,6406.5,,no,Required Compliance,Complied,2023,2689160.90145198,236706.83326881,883054700
-8368121.5624202,4859951.79715884,89,39.95874946,-75.17210978,96542,3884233,Franklin Institute,222 N 20th St,19103,,1932,Museum,221300,24162753.6,138467514.6,,,,492.8,645.6,492.5,644.7,9526,6899.7,,no,Required Compliance,Complied,2023,2691057.43243581,238379.84468655,782779400
-8368307.15451257,4859157.69511831,90,39.95328135,-75.17377698,96446,3894669,2000 Market Street,2000 Market Street,19103,,1972,Office,696261,31412148.1,6268.2,,39015658.8,46,105.8,202.7,109.1,207.5,5413.7,16215.4,,no,Required Compliance,Complied,2023,2690648.36468439,236375.11575639,883320500
-8367726.45191876,4858849.09326526,91,39.95115622,-75.16856046,97987,22829384,Club Quarters Hotel Rittenhouse Square,1628 Chestnut St,19103,,1927,Hotel,124740,5800751.4,,,1522099.2,100,28.7,70.9,29.1,71,610.2,3365.5,,no,Required Compliance,Complied,2023,2692132.83907764,235644.00140497,883704900
-8367761.09410251,4858704.71130878,92,39.95016194,-75.16887166,178667,6376485,The Latham,135 S. 17th Street,19103,,1950,Multifamily Housing,72709,3490022.2,2358706.5,,,18,102.3,214.2,106.9,221.4,431.6,4428.1,61,no,Required Compliance,Complied,2023,2692056.21357472,235279.40764597,881547560
-8367735.6998817,4858799.94244801,93,39.95081775,-75.16864354,97146,4134374,Hotel Palomar Philadelphia,117 South 17th Street,19103,,2009,Hotel,148896,9192668.4,12899939.3,,,14,141,250.8,148.9,259.2,1492,9049.8,,no,Required Compliance,Complied,2023,2692113.16129547,235520.07350323,883050000
-8368198.9773657,4858889.40465519,94,39.95143383,-75.17280522,178748,18730750,The Harper,112 S. 19th Street,19103,,2019,Multifamily Housing,260172,10572457.3,2499619.8,,,38,50.2,123.9,53.8,130.3,1060.6,5194.2,95,no,Required Compliance,Complied,2023,2690940.32571463,235710.32968439,881021502
-8367877.39125021,4859085.02278675,95,39.9527809,-75.16991637,158022,4588184,1760 Market,1760 Market Street,19103,,1980,Office,137284,6918468,661263.8,,,63,54.9,145.3,57,147.5,656.8,814.3,,no,Required Compliance,Complied,2023,2691735.56723438,236224.48613639,883032500
