Reporting ID,Data Year,MapLot,Compliance Status,BEUDO Category,BEUDO Property Type,PD Parcel Living Area,PD Parcel Units,Address,Year Built,Buildings Included,Buildings Included Count,Primary Property Type - Self Selected,All Property Uses,Property GFA - Self Reported (ft2),Reported Residential Units,Owner,Owner Line 2,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft2),Grid Electricity Emissions Factor (Metric Tons CO2e per Million Btus),Grid Electricity Emissions (Metric Tons CO2e),Natural Gas Emissions Factor (Metric Tons CO2e per Million Btus),Natural Gas Emissions (Metric Tons CO2e),Fuel Oil #1 Emissions Factor (Metric Tons CO2e per Million Btus),Fuel Oil #1 Emissions (Metric Tons CO2e),Fuel Oil #2 Emissions Factor (Metric Tons CO2e per Million Btus),Fuel Oil #2 Emissions (Metric Tons CO2e),Fuel Oil #4 Emissions Factor (Metric Tons CO2e per Million Btus),Fuel Oil #4 Emissions (Metric Tons CO2e),Fuel Oil #5 or #6 Emissions Factor (Metric Tons CO2e per Million Btus),Fuel Oil #5 or #6 Emissions (Metric Tons CO2e),Diesel Emissions Factor (Metric Tons CO2e per Million Btus),Diesel Emissions (Metric Tons CO2e),Kerosene Emissions Factor (Metric Tons CO2e per Million Btus),Kerosene Emissions (Metric Tons CO2e),District Steam Emissions Factor (Metric Tons CO2e per Million Btus),District Steam Emissions (Metric Tons CO2e),District Chilled Water Emissions Factor (Metric Tons CO2e per Million Btus),District Chilled Water Emissions (Metric Tons CO2e),Latitude,Longitude,Coordinates
B1622,2016,195-143,Compliant,Non-Residential,House of Worship,87228,0,15 Notre Dame Ave,1925,"67-3, 67-9, 67-13, 67-14",4,Worship Facility,Worship Facility (24135.0),24135,,VINEYARD CHRISTIAN FELLOWSHIP OF,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0749,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3925,-71.1314,POINT (-71.1313513194866 42.3924977035378)
B1663,2016,44-106,Non-Compliant,Non-Residential,Other,333774,1,50 Broadway,1986,643-8,1,Hotel,Hotel (334260.0),334260,,"ZUCKERMAN, MORTIMER B.,","EDWARD H. LINDE & DAVID BARRETT, TRS.",24,5983200,20414678.5,191296,19129601.2,,,,,,,,,,39544279.7,,118.3,,77247181,,231.1,,2545.8921,15023.1,44.94,0.0749,1529.8272,0.0531,1016.0649,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.363,-71.0859,POINT (-71.0859382504638 42.3630074920382)
B1672,2016,84-101,Compliant,Non-Residential,Office,26830,,1280 Cambridge St.,1914,370-5,1,Office,Office (N/A),17300,,"KO, NAI NAN & JULIA KOANG SHIH KO,",,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0749,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3732,-71.0989,POINT (-71.0988705552198 42.3732364825443)
B1846,2016,74-25,Non-Compliant,Municipal,Municipal,13104,0,105 Windsor Street,,622-2,1,,,,,CAMBRIDGE CITY OF,RECREATION DEPT,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0749,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3641,-71.0968,POINT (-71.0968044087014 42.3640742165848)
B1128,2017,35-95,Non-Compliant,Non-Residential,Other,32775,0,155 Gore St,,369-2,1,,,,,MASSACHUSETTS COMMONWEALTH OF,MDC SKATING RINK,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0749,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.373,-71.0846,POINT (-71.0845664369688 42.3730005968916)
B1593,2017,135-23,Non-Compliant,Residential,Residential,38994,65,383 Harvard Street,1893,"366-1, 366-3",2,Multifamily Housing,Multifamily Housing (N/A),38994,,"MOSKOW, ABRAHAM &",MICHAEL B MOSKOW TRUSTEES OF,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0749,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.372,-71.1131,POINT (-71.1130665100088 42.3720164916793)
B1604,2017,267.4-254,Non-Compliant,Non-Residential,Municipal,46666,2,100 smith place,1960,69-2,1,Other - Services,"Parking (N/A),Other - Services (N/A)",46666,,"JOLLY GREEN GIANT, LLC.",,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0749,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3931,-71.1499,POINT (-71.149941345546 42.3930800620073)
B1759,2017,189-104,Non-Compliant,Residential,Residential,100581,76,1 Whittemore Ave,2016,"17-4, 17-6, 17-8, 17-15, 17-18, 17-21",6,Multifamily Housing,Multifamily Housing (200000.0),200000,68,TYLER COURT LIMITED PARTNERSHIP,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0749,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3983,-71.1341,POINT (-71.1340596776216 42.3983439202205)
B1809,2017,90-14,Non-Compliant,Non-Residential,Office,26070,0,84 Prospect St,1980,542-17,1,Office,"Office (26070.0),Parking (150.0)",26070,,"BURCOMBE, LLC",,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0749,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3671,-71.1023,POINT (-71.1022806346766 42.3670585639913)
B1884,2017,267.1-274,Non-Compliant,Residential,Residential,46380,320,195 Concord Turnpike,,9-3,1,,,,,"MARTIGNETTI, CARMINE A., ET AL TRS",,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0749,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3992,-71.1485,POINT (-71.1485287411344 42.3991675418716)
B1125,2018,39-173,Non-Compliant,Non-Residential,Technology/Science,173838,1,399 Binney Street,2018,417-30,1,Laboratory,Laboratory (165194.0),165194,,"ARE-MA REGION NO. 58, LLC",,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0701,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3679,-71.0904,POINT (-71.0903822183998 42.3679107703477)
B1188,2018,130-168,Compliant,Non-Residential,Residential,176218,170,28 Hingham St,2008,619-27,1,Multifamily Housing,Multifamily Housing (9195.0),9195,6,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,54818.8,187041.8,3303,330300,,,,,,,,,,517341.8,514974.3,56.3,56,870532.1,862679.4,94.7,93.8,30.6614,501.2,54.51,0.0701,13.1175,0.0531,17.5438,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.365,-71.1151,POINT (-71.1151227065186 42.3650314945669)
B1552,2018,170-4,Non-Compliant,Non-Residential,House of Worship,40360,,11 Garden Street,1872,290-8,1,Worship Facility,Worship Facility (5000.0),5000,,FIRST CHURCH IN CAMBRIDGE CONGREGATIONAL,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0701,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3766,-71.123,POINT (-71.123018585677 42.3766250647634)
B1576,2018,85-76,Non-Compliant,Non-Residential,Office,34806,,139 Hampshire st,1982,385-61,1,Office,Office,1260,,"NORSHIRE LLC,",,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0701,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3709,-71.0971,POINT (-71.0970732319374 42.3708960696101)
B1661,2018,1A-70,Compliant,Non-Residential,College/University,26034,1,17 Monsignor O'Brien,1988,460-3,1,College/University,College/University (55000.0),55000,,"EFEKTA  ENTRANCE, INC",,,197943.3,675382.5,,,,,,,,,,,,2071423.7,,37.7,,3356914.3,,61,,47.3657,,,0.0701,47.3657,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3692,-71.0722,POINT (-71.07218847187 42.3692353500088)
B1676,2018,269-132,Compliant,Non-Residential,Office,92672,1,1 Alewife Center,1988,24-3,1,Office,Office (89875.0),89875,,"IQHQ ALEWIFE, LLC",,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0701,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3985,-71.1399,POINT (-71.1398876059305 42.3985140650977)
B1706,2018,92-130,Compliant,Residential,Residential,103484,83,115 Pacific St,1990,665-16,1,Multifamily Housing,Multifamily Housing (6505.0),6505,6,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,29650,101165.8,4061.5313,406153.1,,,,,,,,,,101165.8,101165.8,15.6,15.6,283264.3,283264.3,43.5,43.5,28.6677,314,48.27,0.0701,7.0949,0.0531,21.5727,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3611,-71.1034,POINT (-71.1034198821725 42.361115472629)
B1756,2018,31-15,Compliant,Non-Residential,Technology/Science,195966,1,320 Bent Street,2002,554-1,1,Laboratory,Laboratory (195198.0),195198,,"MBA-ROGERS STREET, LLC",C/O RYAN LLC,,10592160.5,36140451.6,422099,42209900.4,,,,,,,,,,78350352.1,78439212.9,401.4,401.8,145513660,145628982.9,745.5,746.1,4776.5587,10058.7,51.53,0.0701,2534.5883,0.0531,2241.9704,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3674,-71.0875,POINT (-71.0874920769636 42.3674396139441)
B1834,2018,107-138,Compliant,Non-Residential,Other,48532,103,7 Temple Street,1911,570-4,1,Multifamily Housing,"Office (33891.0),Multifamily Housing (50849.0)",50849,103,CAMBRIDGE YOUNG WOMENS,CHRISTIAN ASSOCIATION,,,,,,,,,,,,,,,,,,,,,,,0,1996.1,23.56,0.0701,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3668,-71.1043,POINT (-71.1043302221195 42.3667972109572)
B1314,2019,100-68,Non-Compliant,Non-Residential,Other,129942,2,777 Memorial Drive,2000,"718-3, 718-4",2,Hotel,Hotel (105000.0),105000,,777 MEMORIAL OWNER LP,C/O MARVIN F. POER & CO,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0656,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3587,-71.1147,POINT (-71.1147104199688 42.3586717134715)
B1360,2019,157-69,Compliant,Non-Residential,Other,1462119,18,10 Everett Street,2010,253-6,1,Parking,Parking (223000.0),223000,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,498819.5,1701972.1,,,,,,,,,,,,1701972.1,1701972.1,7.6,7.6,4765521.8,4765521.8,21.4,21.4,111.7295,,,0.0656,111.7295,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3793,-71.1193,POINT (-71.1192692512736 42.3793118769113)
B1377,2019,43A-21,Compliant,Non-Residential,Office,348983,,600 Technology Square,2001,610-6,1,Office,"Office (106224.0),Retail Store (21000.0)",127224,,"MIT REAL ESTATE, LLC,",,6,4462723.6,15226813,39.75,3975,,,,,,,,,,15226813,15226813,119.7,119.7,42635076.5,42635076.5,335.1,335.1,999.8066,2085.1,16.39,0.0656,999.5955,0.0531,0.2111,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3634,-71.0931,POINT (-71.093116761742 42.3633891110157)
B1416,2019,66-152,Compliant,Residential,Residential,89120,96,240 Sidney St,2015,734-1,1,Multifamily Housing,Multifamily Housing (96431.0),96431,89.71,"SIDNEY GROVE LLC,",C/O NATIONAL DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,0,2592.3,26.88,0.0656,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3568,-71.106,POINT (-71.1059981590737 42.3567957135827)
B1564,2019,27-93,Non-Compliant,Non-Residential,Manufacturing/Industrial,156564,1,250 Bent St,1970,564-1,1,Data Center,"Data Center (138000.0),Parking (8000.0)",138000,,AT&T CORP.,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0656,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3671,-71.0847,POINT (-71.0846679188015 42.3670634315501)
B1671,2019,7-29,Non-Compliant,Non-Residential,Manufacturing/Industrial,65704,1,225 Monsignor O'Brien Highway,1920,358-7,1,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,65704,,"EASTMAN BROOK LLC,",,,,,,,,,,,,,,,,,,,,,,,,0,1240.3,18.88,0.0656,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3732,-71.0803,POINT (-71.0802508890137 42.3732049896893)
B1864,2019,10-37,Compliant,Non-Residential,Office,26600,,107 First St,1905,547-3,1,,,,,Multiple Owners,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0656,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3677,-71.0779,POINT (-71.0779203613919 42.3676614315055)
B1156,2020,133-36,Compliant,Non-Residential,College/University,40876,0,2 Arrow Street,2004,"439-16, 439-11",2,College/University,College/University (50347.0),50347,,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,,,174617.2,595793.8,,,,,,,,,,,,595793.8,595793.8,11.8,11.8,1668222.7,1668222.7,33.1,33.1,42.2129,,,0.0709,42.2129,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3708,-71.1145,POINT (-71.1144916061288 42.3707700500492)
B1262,2020,136-2,Compliant,Non-Residential,College/University,386737,1,16 Quincy St,1822,333-5,1,College/University,College/University (5964.0),5964,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,15156.6,51714.3,1441,144101,,,,,,,13351.7,,,209167,223196.7,35.1,37.4,308256.1,323084.8,51.7,54.2,12.0851,5.4,0.91,0.0709,3.664,0.0531,7.6539,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0.7671,42.373,-71.1147,POINT (-71.1146829095289 42.3729995583677)
B1523,2020,52A-21,Non-Compliant,Non-Residential,College/University,3691096,0,3 AMES ST (REAR),1931,668-62,1,College/University,College/University,77154,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0709,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3602,-71.0887,POINT (-71.0886825439834 42.3602240988198)
B1576,2020,85-76,Non-Compliant,Non-Residential,Office,34806,,139 Hampshire st,1982,385-61,1,Office,Office,1260,,"NORSHIRE LLC,",,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0709,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3709,-71.0971,POINT (-71.0970723186132 42.3708967884125)
B1628,2020,173-48,Compliant,Residential,Residential,56614,122,1648 - 1654 Mass Ave,1900,"220-1, 220-3",2,Multifamily Housing,Multifamily Housing (63287.0),63287,83,"MILLER, TUCKER REED",,98,333598,1138236.4,44875,4487499.3,,,,,,,,,,4487499.3,4876390.7,70.9,77.1,4711874.3,5120210.2,74.5,80.9,318.9983,2173.1,34.34,0.0709,80.6457,0.0531,238.3526,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3815,-71.1201,POINT (-71.1201423509845 42.3814873078878)
B1676,2020,269-132,Compliant,Non-Residential,Office,92672,1,1 Alewife Center,1988,24-3,1,Office,Office (89875.0),89875,,"IQHQ ALEWIFE, LLC",,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0709,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3985,-71.1399,POINT (-71.1398854495476 42.398514217776)
B1720,2020,90-95,Compliant,Non-Residential,House of Worship,82771,,134 Norfolk St,1902,"551-1, 551-2, 551-3",3,Worship Facility,Worship Facility (35000.0),35000,,ROMAN CATHOLIC ARCHBISHOP OF BOSTON,,,,,,,,,,,,,,,,,,,,,,,,0,257.3,7.35,0.0709,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3675,-71.1004,POINT (-71.1004377250688 42.3674720141318)
B1833,2020,135-20,Compliant,Residential,Residential,49080,60,375 Harvard Street,1964,"366-27, 366-14",2,Multifamily Housing,Multifamily Housing (49940.0),49940,60,AUDUBON ROAD ASSOCIATES CCSPE LLC,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0709,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3721,-71.1121,POINT (-71.1121495881801 42.3720562768026)
B1254,2021,144-1,Compliant,Non-Residential,College/University,2402868,15,6 Divinity Ave,1902,241-43,1,College/University,College/University (30908.0),30908,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,80454.8,274511.8,,,,,,,,,,1041000,,1315511.8,1412598.4,42.6,45.7,2020998.8,2137798,65.4,69.2,88.9722,13.9,0.45,0.0723,19.8513,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,69.1208,0.0575,0,42.3781,-71.1139,POINT (-71.1139368606406 42.3780778919862)
B1362,2021,265D-58,Compliant,Residential,Residential,309512,294,50 CambridgePark Drive,2022,44-14,1,Multifamily Housing,Multifamily Housing (N/A),374238,,50 CP DEVELOPMENT LIMITED PARTNERSHIP,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0723,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3941,-71.1439,POINT (-71.1438660879215 42.3940892468754)
B1417,2021,172-65,Compliant,Residential,Other,62728,95,50 Follen Street,1925,269-10,1,Other,Other (57738.0),57738,,Condo Building - Multiple Owners,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0723,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3781,-71.1213,POINT (-71.1212668923569 42.3780875204601)
B1461,2021,269.5-101,Compliant,Non-Residential,Manufacturing/Industrial,83930,,5 CambridgePark Drive,,35-1,1,,,,,MASSACHUSETTS BAY TRANSPORTATION,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0723,0,0.0531,0,0.0735,0,0.0742,0,0.0753,0,0.0753,0,0.0742,0,0.0777,0,0.0664,0,0.0575,0,42.3957,-71.1419,POINT (-71.1418913326054 42.3957322510887)
