bbl,tenant,floor,sf_occupied,move_in_date
1007870072,Dominion Capital,15th,6302,10/1/18
1010120015,Dominos Pizza,GRND,"3,000",7-Jul
1007819002,Don Pepi Pizza,GRND,"1,100",Jan-86
1008620013,Don's Bogam BBQ & Wine Bar,GRND,4000,4/1/03
1008030018,Donald Baechler Studio,2nd,"7,500",5-Jan
1010090005,Donald Smith & Co,29th,5651,9-Jul
1012990027,Donnelley Financial Solutions,35th,"16,750",21-Jan
1008120063,Donors Choose,11th,"10,000",13-Jul
1008620016,Donovan,14th,3742,1/1/11
1008000068,Door Dash,1st,6900,9/1/21
1008250031,Door Dash,"8th, 9th","115,382",23-Mar
1012750064,Dorian Studios,10th,500,20-Jan
1012850015,Doris Duke Foundation,10th,"20,293",22-Oct
1012680001,Dos Toros Taqueria,GRND,1500,8/16/25
1000090001,Dos Toros Taqueria,GRND,"1,200",19-Feb
1007640001,Dot. Creative Group,10th,"2,323",23-Apr
1000200001,DOTmed,"22nd, 25th","4,510",10-Jul
1004730001,DoubleVerify,"3rd, 4th, 5th, 6th",87500,1/1/22
1000670001,"Douglas and London, P.C.",6th,14807,3/1/13
1013210022,Douglas C Lane & Associates,42nd,16835,22-Apr
1008330006,Douglas C Wright Architects,4th,2236,8/1/17
1005050036,Douglas Elliman,"3rd, 4th, 5th, 6th",40000,3/1/98
1013160001,Douglas Elliman,6th,16951,1/1/11
1008180066,Douglas Elliman,7th,"9,979",25-Mar
1008470001,Douglas Elliman,7th,"19,500",18-May
1001240004,Douglas Gurfein,7th,5760,6/1/02
1013130014,Douglas Seckendorf,15th,5955,1/1/24
1012780001,Douglass Winthrop Advisors,19th,12394,9/1/18
1010000029,Dow Jones & Co.,GRND,"14,500",9-Jun
1007640001,Downhill Publishing,GRND,"1,000",17-Jun
1001500038,Downtown Dance Factory,"4th, 5th","13,239",10-Aug
1001500038,Downtown Dermatology,18th,"2,800",18-Jun
1008030007,Downtown Floors,GRND,"3,050",14-Jun
1008220031,Downtown Music Holdings,"14th, 15th",26399,8/1/19
1004910046,Downtown Music Holdings,"14th, 15th","26,399",19-Aug
1007790041,Downtown Psychological,8th,5750,3/1/14
1008370036,Downtown Travel,8th,7000,9/1/10
1005110001,Downtown Women OB/GYN,"3rd, 4th",8084,6/1/01
1008210055,Dr Brian Blatt,9th,1000,4/1/20
1005220012,Dr Steven Shoshany,3rd,"3,750",23-Nov
1013740045,Dr. Buruiana Obgyn,"4th, 8th","2,769",10-Feb
1011130008,Dr. Charles E. Robins,3rd,1693,7/1/19
1010280033,"Dr. Christian Chung, D.D.S.",11th,"2,210",9-Jul
1013100065,Dr. David Kaplowitz,14th,"4,660",22-Jul
1012850015,Dr. Dennis Gross Skincare,14th,"16,624",15-Jul
1012600024,Dr. Douglas Seckendorf,15th,5955,1/24/25
1008440003,Dr. Elizabeth Greenberg,6th,1696,8/1/01
1012810059,Dr. Gerard Varlotta,3rd,4566,4/1/21
1012730001,Dr. Joshua Levine MD PC,16th,2000,23-Mar
1008110021,Dr. Martens,GRND,1500,11/1/01
1012840052,"Dr. Michael J. Wei, DDS",20th,"4,500",16-Dec
1013130005,"Dr. Yakov Levy, M.D.",10th,3094,4/12/25
1008360033,Dr. Yoo Rehabilitation PT,4th,1768,9/1/20
1001920001,Drama League,GRND,"1,800",13-Apr
1008630029,Draper James,8th,4534,8/1/01
1008130023,DRE Services,5th,"1,300",16-Feb
1008090053,Dream Home NY,7th,"41,836",23-Mar
1008010024,Dream Machine,2nd,11859,8/1/25
1013740021,Dreams Plastic Surgery,17th,"4,205",21-Aug
1012630024,DreamStone,GRND,500,23-Jan
1012990022,Drexel Burnham Brokerage,12th,1500,6/1/13
1012950040,"Dreyfus, Ashby & Co.",15th,"4,405",1-Oct
1012630067,DRS Jewelry,13th,"2,264",17-Aug
1013740045,"Drs. Farkas, Kassalow, Resnick, & Associates",2nd,"3,870",Sep-58
1008220062,Drummond Framing,10th,5734,6/1/01
1008060006,DS Handbags,GRND,"1,000",15-Jul
1012970023,DSG Global,49th,7905,16-Feb
1007950037,DSM-Firmenich,7th-8th,56939,24-Nov
1007950044,DSM-Firmenich,"7th, 8th",56939,11/1/24
1007610037,Dswe Domaine Select Wine Estates,GRND,500,24-Dec
1013100065,DT Smile Design,11th,"2,400",7-Sep
1007620019,dtls,GRND,500,22-Sep
1012780020,Duane Morris,"22nd, 23rd","79,676",25-Jun
1008830088,Duane Reade,GRND,7800,5/1/01
1008510041,Duane Reade,GRND,6621,9/1/01
1013010023,Duane Reade,GRND,9000,1/1/83
1000100023,Duane Reade,GRND,7500,4/1/01
1001510032,Duane Reade,GRND,"8,700",11-Feb
1010480033,Duane Reade,GRND,"7,600",11-Jun
1012920037,Dubin & Company,25th,10777,6/24/25
1008220031,Ducati,GRND,8331,2/1/01
1004910046,Ducati,GRND,"8,331",14-Feb
1012750008,Duco,6th,"5,516",23-Apr
1012850036,Duke Eatery,GRND,"3,500",22-Dec
1007990028,Duke Properties,8th,2645,4/1/24
1007790017,Dumais,11th,2759,9/1/18
1012670034,Dune Real Estate Partners,17th,10523,16-Feb
1008040001,Dunkin',GRND,3100,6/1/01
1010150029,Dunkin',GRND,1900,5/1/01
1007890062,Dunkin',GRND,2392,2/1/01
1007840041,Dunkin',GRND,1980,4/1/01
1000240001,Dunkin',GRND,1300,7/1/01
1008340049,Dunkin',GRND,1800,8/1/01
1017740056,Dunkin',GRND,1800,11/1/01
1000100016,Dunkin',GRND,"1,658",14-Sep
1005770039,Dunkin',GRND,"3,100",24-Oct
1005800065,Dunkin',GRND,"3,300",9-Jan
1007819002,Dunkin',GRND,"3,100",17-Aug
1007870001,Dunkin',GRND,500,7-Jan
1008950045,Dunkin',GRND,"1,018",25-Dec
1012760069,Dunkin',GRND,600,18-Jun
1008340080,DUO America,9th,"2,946",24-Dec
1002120018,Duotone Audio Group,GRND,500,23-Oct
1000110021,Durkin & Durkin,GRND,500,25-May
1007640001,Durr Mechanical Construction,GRND,500,24-Sep
1006980001,Dutescoart,GRND,500,24-Jun
1008490070,dv01,6th,"13,387",19-Feb
1010040020,Dwight Capital,10th,23779,6/18/25
1009950033,DWP&V Law Firm,"41st, 42nd, 43rd, 44th, 45th, 46th",218399,10/8/25
1013260001,DWS Group,25th-27th,81902,19-Feb
1010090005,DXC Technology,35th,10852,25-Feb
1007970037,DXL Big + Tall,GRND,"10,500",24-Jul
1007620042,Dynamic Air Conditioning,GRND,500,25-Apr
1008690058,Dynamic Construction Services,19th,"4,400",13-Mar
1008410081,Dynata,16th,"5,501",17-Nov
1008410081,Dz Trading,GRND,500,25-Jul
1007840019,E E Cruz & Company,"7th, 14th, 17th","22,213",24-Oct
1008240028,E-Lo Sportswear,"15th, 16th",19000,7/1/01
1008120069,E-Play Brands,7th,7200,1/1/01
1008650014,E.B. Meyrowitz,GRND,1120,2/15/25
1007580082,E.S. Originals,"6th, 7th, 8th",73036,1/1/14
1008140015,E.S. Sutton,6th,"30,880",23-Nov
1008390029,E4H Architecture,16th,"2,349",20-May
1012910028,Eagle Capital,26th,16442,4/24/25
1008560024,Eagle Strategies,10th,500,23-Apr
1009990029,Eagle Tree Capital,39th,29000,1/1/16
1012810001,Eaglestone,9th,"20,955",24-Jan
1012810056,EarlyBirdCapital,8th,"6,851",14-Jun
1000400014,Earthjustice,15th,14518,10/1/13
1007590045,East Coast Digital,5th,8000,11/1/20
1008130055,East Coast Trimming,GRND,2000,8/1/24
1013110050,East End Capital,7th,"1,500",17-Feb
1014840014,East River Imaging,GRND,"12,910",25-Jun
1012810059,East Side Medical Practice,2nd,2600,7/1/16
1012900021,East West Bank,8th,"14,375",8-Jun
1008030018,Eastern,8th,500,22-Nov
1008330006,Eastern Nationwide Supply,7th,2648,10/1/01
1008120069,Eastern Silk Mills,3rd,7200,7/1/12
1007790057,Eastman Residential,2nd,2300,7/1/24
1013210047,Easton Capital Investment,7th,6130,1/1/05
1009270055,Eastside Endoscopy,GRND,"12,000",11-Apr
1013740021,Eastside Gynecology,12th,"1,530",20-Jun
1008680010,"Easy Espanol, Inc.",11th,"1,560",18-Mar
1008250031,Eataly,GRND,"41,661",10-Jul
1012640005,Eataly,GRND,"6,000",25-Mar
1007870001,Ebad Fabrics,GRND,"1,200",12-Jul
1010270020,Eberly & Collard PR,15th,1500,2/22/25
1008660001,Ebisons Harounian Imports,5th,2368,3/1/01
1010130029,EBM Development,9th,3000,8/1/83
1007540078,ECAMSECURE,6th,"3,000",24-May
1008410054,eCapital,14th,6667,19-Jun
1012600064,Ecclesia NYC,2nd,5000,6/1/01
1008690066,Echo Design Group,16th,13861,12/1/01
1012760042,Echoing Green,GRND,500,25-Aug
1007850037,Echoing Green Foundation,13th,9750,9/1/17
1012620054,ECI Jewelers,3rd,2187,10/1/10
1012750014,eClerx,14th,5672,12/1/13
1008330006,Eco Electrical Services,3rd,2645,1/1/14
1008110031,Ecolab,18th,7809,11/1/12
1008780065,Ecole Int'l,1st,46000,9/1/24
1013090032,Economist Group,16th,17284,2/23/25
1006020036,Edc,GRND,500,25-Apr
1005780047,"Edelman & Edelman, P.C.","10th, 11th, 12th, 14th, 15th, PENT",146102,12/1/07
1000240001,"Edelman & Edelman, P.C.",29th,9813,11/1/24
1012850021,Eden Fine Arts,GRND,8000,2/1/01
1008410081,EDG,5th,"7,733",18-Sep
1010250025,Edge Pripal Advisors,37th,6741,21-Feb
1009980024,Edge Studio,8th,3280,2/1/14
1013230047,Edge Wealth Management,12th,2486,12/11/25
1012900021,Edgewood Management,15th,"14,375",11-Nov
1007610033,Edifice Real Estate,24th,6301,1/1/01
1007880011,Edite,GRND,500,21-Dec
1012840002,Edition Capital,8th,1250,21-May
1007790039,EDSA,14th,"2,800",19-Jun
1008110016,EDSIM Leather,14th,"6,750",3-Jan
1000390012,Educators For Excellence,28th,13427,11/1/14
1007630018,Educators For Excellence,GRND,500,24-Dec
1016340003,Edward A Reynolds West Side High School,"7th, 8th, 9th, 10th, 11th","50,000",25-Aug
1008870082,Edward F Albee Foundation,9th,"2,921",24-Aug
1012900003,Edwynn Houk Gallery,GRND,5806,
1007630049,EDX,10th,4238,10/1/24
1008150021,EDX,10th,"4,238",24-Oct
1000390012,EE&P Law firm,"36th, 38th",14132,4/1/17
1012830001,Efficio,12th,"9,887",22-May
1012820017,Effy,21st,"26,315",23-Dec
1008110010,efundex,8th,"2,166",17-Jun
1013180038,Egads Computer,11th,"1,650",20-Dec
1012610019,Egg Electric,4th,5000,12/1/01
1007840077,"EGH&F, LLP",7th,4750,2/1/15
1012890014,Egon Zehnder,"22nd, 23rd","35,792",20-Oct
1000100016,EgyptAir,5th,"11,510",15-Dec
1013070001,Ehrenkranz Partners,1st,17519,12/1/25
1008410020,Eigen X,14th,"17,400",24-Nov
1008590072,Einbinder & Dunn,8th,8250,1/1/16
1012720063,Eisner,20th,"20,750",24-Apr
1013190047,Eisner,"6th, 7th, 8th, 9th, 10th",124327,2/1/20
1007990012,Ekimetrics,4th,6933,4/1/19
1007790057,EKSO,2nd,2900,1/1/18
1007850015,EL Education,8th,"5,609",10-May
1009930047,El Rey Tacos,GRND,"1,900",25-Mar
1007870001,El Sabroso,GRND,"1,000",17-Oct
1005050036,Elad Group,22nd,9980,12/5/25
1008290011,Elasticsearch,5th,5702,1/1/18
1001510032,Elate Moving,13th,"3,350",20-Jan
1008660001,Elder Care,5th,1500,1/1/25
1012940001,Eldridge Industries,17th,"38,100",23-Jan
1008820085,Electra Information Systems,14th,"4,494",10-May
1008490063,Electric,11th,2645,3/24/25
1008220015,Electric Funstuff,5th,2600,5/1/10
1012880007,Electron,19th,8462,1/1/19
1008600049,Electronic Security & Comm,3rd,2250,5/1/22
1007819002,Elegance,GRND,"1,500",18-Apr
1012630014,Elegant Creations,13th,"2,500",23-Jan
1008140015,Elegran Capital & Advisory,26th,"22,114",20-Dec
1012890014,Element Capital Management,43rd,"20,988",19-Oct
1009930001,Element Music,8th,3944,7/1/16
1007840060,Elena's Employment Agency,3rd,3650,8/1/23
1012590001,ElevatedNY,"4th, 15th, 16th, 18th","101,917",5-Jan
1010240015,ELH Mgmt.,29th,1200,24-Aug
1012710071,Eliant,32nd,10776,6/1/23
1012700071,Eliant Trade Finance,18th,13309,11/24/25
1008590064,Elias Interiors,3rd,3580,10/1/14
1008870082,Eliko Rugs by David Ariel,7th,"6,121",22-Jul
1008630029,Elise A.I. Technologies Corp,"2nd, 3rd, 8th",30282,11/1/21
1008570076,elite,24th,"8,750",12-May
1013160001,Elite Financial Solutions,10th,5077,4/1/24
1010290012,Elite Smile NYC,18th,"5,981",24-Jul
1006720001,Elite World Group,15th,18000,4/1/24
1013740045,Eliut Salon,12th,"2,645",17-Jun
1007870044,Eliza J,34th,1581,10/18/25
1013180001,Eliza J,34th,1581,10/1/01
1008000061,Elizabeth Ballard Therapy,GRND,500,24-Sep
1007850075,Elizabeth Gillett,5th,"2,000",14-May
1012650050,Ella Valley Capital,2nd,"10,000",22-Mar
1012720063,Elliott Management,30th,"25,000",11-Jan
1008660076,"Elliott R. Alwais, CPA",9th,1769,1/1/20
1008370048,"Elliott R. Alwais, CPA",9th,"1,769",20-Jan
1008190044,Ellman Realty Advisors,14th,"1,800",1-Aug
1008150014,Elsie Rooftop,"24th, PENT",15674,4/1/15
1002320001,Elysium,2nd,7500,6/1/01
1008610003,Embark Beyond,16th,3826,1/1/22
1008390029,Embassy Of Costa Rica,12th,"3,265",17-Jan
1005970062,Embassy Row,"6th, 7th",30543,2/1/16
1008280035,Ember Infrastructure,17th,"9,078",22-Feb
1019310021,EmblemHealth,GRND,"11,498",12-Jan
1012780069,Emby International,8th,13136,9/1/23
1008030018,EME Consulting Engineering Group,7th,500,22-Nov
1000460003,Emerald,14th,"13,657",16-Aug
1012840056,Emerald Equities NYC,16th,1500,1/1/15
1009990029,Emerge212,3rd,27508,10/1/16
1012830069,Emet Capital Management,16th,5000,10/1/16
1012770008,Emigrant Bank,GRND,500,Jan-00
1012770008,Emigrant Bank Fine Art Finance,"7th, 8th","31,752",20-Oct
1012780020,Emigrant Partners,GRND,500,25-May
1012770008,Emigrant Realty Finance,"2nd, 3rd, 4th, 5th, 9th, 25th","124,651",Sep-98
1012930016,Emilio Pucci,6th,"5,620",16-Aug
1008010061,EMILY MASON & ALICE TRUMBULL MASON FOUNDATION,GRND,"3,500",25-Jan
1012630061,Emkay,2nd,"2,260",4-Aug
1007870001,Emmelle,17th,"10,000",17-Jul
1012880056,Empello,GRND,"3,518",24-Jul
1000200001,Empire Asset Management Company,12th,"9,300",15-Jan
1009990009,Empire Casting House,4th,4998,4/1/01
1007840060,Empire Dance Studio,15th,6200,2/1/24
1004970018,Empire Entertainment,2nd,"4,144",5-Oct
1008610001,Empire Management,16th,5100,7/1/00
1008630004,Empire Management,16th,"5,100",Jul-00
1012610030,Empire Physical Medicine,9th,4450,1/1/17
1008220070,Empire Square Group,5th,1886,10/1/16
1008350041,Empire State Concrete Polishing,GRND,"1,000",21-Jan
1013150001,Empire State Development,"2nd, 3rd, 4th, 5th, 6th",117181,6/1/24
1010160036,Empire State Financial,11th,2700,4/1/20
1008710068,Empire State Home Care Services,GRND,500,25-May
1012760051,Empire State Psychiatry,20th,"2,969",24-Aug
1008090053,Empire State Realty Trust,12th,"36,896",18-Jan
1008140019,Empire State Realty Trust,GRND,"1,500",25-Sep
1012810001,Empirical Research Partners,18th,"7,000",24-Mar
1007850007,Employment Program for Recovered Alcoholics,9th,"7,500",1-Jan
1004860011,Emporio Armani,GRND,5000,5/25/25
1007880011,Emsig Manufacturing,5th,"10,000",6-Mar
1010080037,Enavate Sciences,8th,3836,7/1/23
1008610057,Enchante Accessories,4th,"1,000",23-Oct
1008630013,Enchante Accessories,"2nd, 3rd, 12th, 16th","75,807",16-May
1008690064,Enchante Accessories,"2nd, 3rd, 12th, 16th",75807,5/1/01
1010350001,Encore Community Services,9th,"5,521",24-Oct
1012670041,Encore Finance,25th,4558,1/1/01
1008480061,Encounter Books,6th,"2,000",6-Jan
1009990003,enCourage Kids,6th,3978,6/1/03
1013210001,Endava,19th,6960,18-Jun
1008510041,Endeavor Global Marketing,"1st, 2nd, 3rd, 4th, 5th, 6th, 8th, 9th, 10th, 11th, 12th, PENT",165581,9/1/08
1012660001,ENEOS Americas Inc.,5th,"4,548",20-Sep
1008950045,Energy Impact Partners,38th,"13,129",21-Nov
1008690054,"Energy Intelligence Group, Inc.",17th,"6,000",23-Dec
1012910038,Engel & Volkers,GRND,10941,13-Jun
1008240015,Engine,7th,"19,015",21-Jan
1000220020,Engine Room Audio,22nd,9000,9/1/08
1012930059,Engineers Gate Manager,12th,17238,24-Jul
1008390016,Enica Engineering,16th,"4,650",17-Jul
1008570076,"Enigma Technologies, Inc.",18th,"13,627",15-Oct
1008650071,ENO Brands,7th,"1,500",19-Jun
1012830058,ENT and Allergy Associates,2nd,"7,839",17-Oct
1008580078,ENT and Allergy Associates,9th,"11,042",12-Jan
1000090014,EnTech,36th,14311,7/1/17
1008370058,Enterprise Lighting,3rd,6000,11/1/09
1012590001,Enterprise Rent A Car,GRND,"1,325",25-Aug
1013070001,Entrust Global,"23rd, 24th",24827,9/10/25
1008820076,ENV,2nd,7000,3/1/97
1008810001,Environmental Solutions,15th,1000,3/20/25
1008550016,Environmental Solutions,15th,3000,20-Mar
1002090028,Enzo Bruni Pizza,GRND,500,22-Aug
1005110012,Enzo Custom,10th,2000,12/1/01
1012760051,Enzo Custom Clothiers,14th,"4,889",16-Oct
1013080033,EOS,15th,6655,6/1/24
1012850015,Eos Hospitality,GRND,500,25-Jul
1008660076,Eos Jewelry LLT,7th,3275,6/1/17
1008370048,Eos Jewelry LLT,7th,"3,275",17-Jun
1008650014,EOS Products,8th,8995,2/1/01
1000680036,EP Engineering,12th,"10,000",24-Jan
1007600055,EPA Dance Studio,2nd,9679,5/1/22
1008010001,EPAM Systems,20th,5000,20-Nov
1001500031,Ephron-Mandel & Howard L.L.P.,GRND,3000,21-Apr
1012600001,EPIC Insurance Brokers & Consultants,"4th, 5th","20,220",23-Jan
1008530002,Epicerie Boulud,GRND,"22,807",24-Oct
1000250027,Epilepsy Foundation,GRND,500,23-Jun
1013170021,Episcopal Church,"4th, 5th, 6th, 7th, 11th",46000,3/1/98
1013170021,Episcopal Church,8th,1000,4/1/03
1008800084,Epsilon Asset Management,3rd,1500,3/1/22
1013260001,Epstein Becker Green,18th-21st,86007,19-Oct
1013010001,EQT Partners,"33rd, 34th",74013,3/24/25
1007860051,Equativ,19th,30191,7/1/22
1008110031,Equativ,2nd,24503,8/1/24
1007390001,Equinix,"2nd, 5th, 7th, 15th",394981,6/1/95
1002260001,Equinox,2nd,"31,248",25-Sep
1008790081,Equinox,GRND,52270,5/1/16
1000460009,Equinox,GRND,37577,6/1/00
1005110001,Equinox,GRND,38652,1/1/06
1005780047,Equinox,GRND,30000,4/1/25
1012780001,Equinox,GRND,25773,7/1/99
1008290016,Equinox,GRND,39025,19-Dec
1012880007,Equinox,GRND,49534,7/1/15
1000160125,Equinox,GRND,"9,719",17-May
1010220043,Equinox,GRND,"17,000",Jul-99
1008600045,Equiteq,11th,8221,9/1/23
1005460026,Equity Data Science,8th,1892,12/23/25
1008440042,Equity Multiple,5th,8000,10/1/01
1000240029,EquityZen,12th,15167,1/1/20
1008250017,Equivico,GRND,500,25-Jun
1000210004,Equus Workforce Solutions,"7th, 8th, 13th",40601,2/1/19
1008260065,ERA,9th,11185,9/1/22
1012890014,Eredipisan,GRND,"1,601",1-May
1008690066,Ergo Ventures,1st,5026,11/24/25
1014350044,Eric Appel Antiques,6th,5077,4/1/01
1007780036,Ernesta,6th,7000,1/1/01
1007760001,Ernesta,6th,"7,000",23-Jan
1010210019,Escape Games NYC,GRND,10910,10/1/01
1008330018,Escape Room Madness,5th,"2,200",17-Jan
1008260057,Escape the Room,8th,2500,5/1/16
1013160001,ESG Kullen,18th,6444,2/1/12
1008680008,"Eshel, Aminov and Partners",7th,5000,11/1/21
1001550003,"ESK&W, Architects",5th,8447,10/1/24
1001550003,"ESK&W, Architects",5th,7573,7/1/24
1012600042,Esprit Wellness,GRND,1400,5/1/01
1008650071,Esquire Brands,2nd,"8,250",15-Mar
1000460009,Esquires Of Wall Street Gents,GRND,1000,10/1/04
1000500001,Ess-A-Bagel,GRND,1607,3/1/25
1007590045,Essen,GRND,10000,9/1/16
1007600043,Essence Collection,7th,"7,882",18-Mar
1013180038,Essense Partners,15th,"3,300",18-Aug
1008220009,Estate of David Smith,10th,"2,140",24-Nov
1012940001,Estee Lauder,GRND,"38,102",3-Nov
1000330001,Estee Lauder,"3rd, 6th, 7th, 8th, 9th, 10th, 11th, 12th",240500,7/1/01
1008040011,Esteem Security Services,6th,2286,2/1/20
1008410054,ESTEL America,7th,6667,23-Oct
1000290036,Estel America,GRND,5250,3/1/01
1000860001,Ester Digital,GRND,500,22-Sep
1010080019,Estiatorio Milos,GRND,"8,050",Jul-96
1010240038,etc.venues,"22nd, 23rd","23,362",22-Dec
1008590024,Etna,11th,7500,4/1/01
1008820085,Eton Inc.,12th,"5,000",24-May
1008010061,Etribeca,GRND,500,25-Apr
1008120016,ettain group,5th,6400,12/1/19
1007590037,Ettinger Engineering Associates,24th,"7,600",Mar-98
1008660001,EU Design,12th,3063,8/1/19
1008500001,Euclidean Capital,"14th, 15th",23000,3/1/25
1012960014,Eunice Tailor & Cleaners,GRND,800,21-Aug
1008500001,Eurasia Group,15th,11238,10/1/18
1012790045,Eureka Capital Partners,12th,"2,544",16-Jun
1007870011,Euro Bands,7th,"5,948",13-Feb
1012970023,Euro-American Business Org,37th,5124,Dec-00
1008710003,Europa Editions,3rd,1050,6/1/24
1008630006,European Home Designs,11th,13027,5/1/01
1007860064,European Textile Trading,16th,500,18-Jan
1012970033,European Union,"26th, 27th, 31st","43,250",12-Sep
1012950020,European Wax Center,GRND,2680,10/1/16
1008140019,European Wax Center,GRND,"1,650",15-Jul
1008780001,European Wax Center,GRND,"1,000",25-Jun
1012630071,Eurotech Construction,5th,14408,2/1/20
1008030021,Event Radio Rentals,9th,1830,9/1/14
1007880066,Eventique,10th,"8,213",25-Jan
1010430013,Events Group International,10th,500,22-Apr
1013070023,Evercore,"14th, 15th","32,424",23-Jan
1012880027,Evercore,"19th, 20th, 21st, 22nd, 23rd, 34th, 35th, 36th, 37th, 38th, 39th, 40th, 41st, 42nd, 43rd, 44th","447,968",10-Apr
1001940042,Evereden,20th,2400,3/1/01
1009970029,Everest,"7th, 8th, 9th",66444,1/1/25
1007280060,Evergreen Music,GRND,1824,7/20/25
1001530024,Evergreen Tree & Shrub,GRND,2563,1/20/25
1008280035,Evergreen Wellness Health,GRND,500,25-Apr
1008290032,Everlast,2nd,5909,1/1/01
1008400071,Everlast,3rd,12582,9/1/13
1008370056,Eversana Intouch Solutions,10th,16300,9/1/17
1008240028,EVERSANA Intouch Solutions,10th,16300,9/17/25
1012830017,Evertree Insurance,16th,3390,24-Jun
1008220070,EverTrue Salon,GRND,1750,6/18/25
1012950058,Everyday Gourmet Deli,GRND,12875,5/1/06
1008610001,Everything Always,GRND,7000,5/1/25
1008630004,Everything Always,GRND,"7,000",25-May
1008410081,Evestment,GRND,500,25-May
1013050040,Evins Communications,4th,6105,7/1/15
1009030047,evoJets,13th,3982,3/1/23
1012600001,Evolution Artist Management,GRND,500,25-Jun
1008580049,EvolveMKD,9th,6161,1/1/24
1012620048,Evvan Importers,4th,1872,7/1/01
1012630024,Evvan Importers,4th,"1,872",20-Jul
1013060042,Exact Capital,14th,"7,781",19-May
1005450026,Exbo Group,7th,"6,032",24-Oct
1007590037,Excel Global Security,"15th, 17th","16,537",Jan-99
1010250025,Excel Sports Management,29th,13408,12-Sep
1000650007,Excise Bond Underwriters,8th,3500,4/1/02
1008410001,Exec-Comm,20th,8900,10/1/12
1008370056,Executive Offices New York,12th,10418,11/1/15
1012990033,Exiger,GRND,"7,000",24-May
1012590001,Exigis,GRND,500,20-May
1007860068,Exilic Church,2nd,11600,1/1/23
1012860035,EXL,29th,"14,951",19-Feb
1012910028,ExodusPoint Capital,9th,17878,9/23/25
1008620026,EXOS,1st,9158,11/23/25
1007890052,ExpandED Schools,12th,10500,2/25/25
1012910045,Expanscience Laboratories,6th,2250,10/1/21
1007790041,Expansive Therapy,12th,2500,10/1/23
1000250027,Experts In Media,GRND,500,24-Sep
1013010023,Exponent,22nd,14383,5/24/25
1013230047,Extell,"7th, 8th",26041,9/9/25
1013230047,Extell,8th,3100,3/25/25
1010280033,Extend Fertility,"11th, 12th","7,079",14-Aug
1008340022,Extreme Concepts,2nd,"1,800",16-Jul
1007670054,EY,"9th, 10th","27,008",18-Mar
1005110008,Eyelure,6th,2292,10/1/01
1012750050,"Eyenovia, Inc.",24th,"3,900",18-Sep
1008780001,Eyes on Park,GRND,900,21-Jun
1000890001,Ezitaly By Travel Associates,GRND,800,10-Sep
1012960014,F M Newsstand,GRND,500,22-Jun
1000460009,F.J. Sciame Construction Co.,2nd,37206,11/1/07
1008130055,F45 Training,GRND,5150,11/21/25
1007850007,Fabian Garcia Physical Therapy,3rd,950,16-Mar
1013050060,Fabiani Cohen & Hall,4th,15000,7/1/98
1007850041,Fabric Innovations,9th,2000,2/1/22
1007860064,Fabrics Express,GRND,500,18-Mar
1012610036,Fabrique,GRND,1487,8/1/01
1019300030,Fabulous Optical,GRND,"1,495",19-May
1008210055,Face To Face NYC,6th,1000,4/1/20
1007840077,Facility Solutions Group,2nd,5000,8/1/14
1008690034,FactSet,"7th, 10th",39900,2/1/98
1009980029,Faegre Drinker Biddle & Reath,"37th, 38th, 41st","46,125",11-Jun
1010090005,Fair Oaks Capital,27th,4500,14-Apr
1008280056,Faircom New York,13th,"5,458",10-Jul
1008620013,Fairdinkum Consulting,9th,5000,6/1/15
1008180066,Faire,"9th, 12th","19,979",25-Feb
1001500031,FairFigure,GRND,"1,894",25-Jun
1012830069,Fairway Diamond,9th,2000,3/1/23
1008110010,Falcon Properties,16th,"6,500",21-Jul
1007670012,Family Leisure Magazine,"2nd, 3rd","72,922",23-Feb
1005980058,Fanatics,14th,"54,472",25-Jun
1006030028,Fanatics,"3rd, 4th, 7th, 8th","100,658",22-Jun
1008530002,FanDuel,23rd,"35,898",25-Jun
1000240029,Fantasy Interactive,34th,5851,5/1/23
1013740060,Faradjewa Dental,9th,2690,2/1/25
1010090005,Farient Advisors,41st,5000,25-May
1012930035,Farkouh Furman & Faccio,12th,8095,4-Jan
1007800007,Farmina Pet Food,15th,"1,906",19-Feb
1005050036,Faros Properties,14th,6471,11/24/25
1007880037,Fashion Business,7th,"7,900",9-Dec
1005770039,Fashion Express,GRND,"1,400",21-Aug
1007760059,Fashion Institute of Tech,"3rd, 5th, 6th",16700,8/1/12
1007870020,Fashion Lab,5th,1900,2/1/17
1008120049,Fashion Options Inc.,11th,"16,818",20-Apr
1008120006,Fashion River,13th,8000,5/1/01
1008410081,Fashionhaus,9th,"5,900",2-Jun
1006720001,Fashionphile,4th,58533,7/1/01
1008340049,Fast Forward,7th,9042,5/1/15
1007120001,Fast Retailing,7th,"39,495",23-Feb
1006270043,Fast Retailing,GRND,500,22-Jul
1007880037,Fastlane Group,9th,"3,320",24-Sep
1008430020,"Fastly, Inc.",6th,"9,233",24-Jan
1012610016,Favorite Health Care Staffing,7th,8656,1/1/23
1008870082,Faze 4 Orchestras,8th,"2,842",24-Feb
1012630067,FBlancato,7th,"8,763",11-Mar
1008830001,FCB,11th,19269,3/1/01
1005630031,FCI,1st,1000,12/1/20
1000510001,FE International,5th,500,24-Dec
1013250001,Feder Kaszovitz,11th,5509,1/1/12
1012950001,Federal Home Loan Bank of New York,"6th, 7th","75,294",2-Jul
